Stat,League_Average
FG%,0.464241124
3P%,0.329798473
2P%,0.532638393
eFG%,0.535313609
FTA_pergame,1.768630339
FT%,0.75258567
ORB_pergame,0.842268041
DRB_pergame,2.620324006
TRB_pergame,3.461708395
AST_pergame,2.011782032
STL_pergame,0.601767305
BLK_pergame,0.370544919
TOV_pergame,1.06730486
PTS_pergame,8.859057437
