Stat,League_Average
FG%,0.447558459
3P%,0.316924528
2P%,0.519685596
eFG%,0.515691884
FTA_pergame,1.509251701
FT%,0.749670118
ORB_pergame,0.822040816
DRB_pergame,2.423265306
TRB_pergame,3.239183673
AST_pergame,1.93414966
STL_pergame,0.587346939
BLK_pergame,0.383945578
TOV_pergame,0.943945578
PTS_pergame,8.022312925
