Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NetRtg,ORtg,DRtg,Player-additional
13,Cole Anthony,PG,23,ORL,81,0,1817,9,20.8,0.435,2.5,7.5,0.338,6.5,13.3,0.49,4.9,5.9,0.826,1.7,6.7,8.5,6.4,1.7,1,3.4,4.8,25.5,-1,110,111,anthoco01
14,OG Anunoby,SF,26,TOT,50,50,1702,8.2,16.7,0.489,3,7.7,0.382,5.2,9,0.581,1.9,2.6,0.753,1.4,4.7,6,3.1,2,1,2.3,3.4,21.2,-4,113,117,anunoog01
14,OG Anunoby,SF,26,TOR,27,27,900,8.4,17.2,0.489,3.3,8.7,0.374,5.2,8.5,0.608,1.8,2.5,0.717,1.3,4.4,5.7,3.9,1.5,0.7,2.3,3.3,21.9,-8,113,121,anunoog01
14,OG Anunoby,SF,26,NYK,23,23,802,7.9,16.1,0.488,2.6,6.5,0.394,5.3,9.6,0.553,2.1,2.7,0.791,1.4,5,6.4,2.2,2.5,1.4,2.4,3.6,20.4,1,113,112,anunoog01
15,Ryan Arcidiacono,PG,29,NYK,20,0,45,0,6.7,0,0,6.7,0,0,0,,0,0,,0,9,9,4.5,2.2,0,2.2,5.6,0,-79,33,112,arcidry01
16,Deni Avdija,SF,23,WAS,75,75,2257,8.4,16.6,0.506,1.8,4.9,0.374,6.6,11.8,0.56,4.2,5.7,0.74,1.7,9.4,11.2,5.9,1.2,0.7,3.3,3.8,22.8,-7,112,119,avdijde01
17,Deandre Ayton,C,25,POR,55,55,1784,11.8,20.7,0.57,0,0.3,0.1,11.8,20.5,0.576,1.8,2.2,0.823,4.9,12,16.9,2.5,1.5,1.2,2.7,3,25.5,1,115,114,aytonde01
18,Udoka Azubuike,C,24,PHO,16,0,113,6.9,9.9,0.696,0,0,,6.9,9.9,0.696,1.3,5.6,0.231,4.8,9.1,13.8,1.3,0.4,2.6,1.7,7.3,15.1,4,118,114,azubuud01
19,Ibou Badji,C,21,POR,22,1,226,3.1,4.8,0.636,0,0,,3.1,4.8,0.636,1.3,2.6,0.5,4.4,6.8,11.1,2.8,0.7,4.4,3.3,10,7.4,-11,104,115,badjiib01
20,Marvin Bagley III,C,24,TOT,50,25,1053,10.8,18.4,0.586,0.4,1,0.391,10.3,17.3,0.597,4.3,5.7,0.762,5.8,8.2,14,2.5,0.9,1.5,2.7,3.6,26.2,3,122,119,baglema01
20,Marvin Bagley III,C,24,DET,26,10,478,10.8,18.2,0.591,0.1,0.6,0.167,10.7,17.6,0.606,5,6.1,0.82,4.6,7.2,11.9,2.7,0.5,1.4,2.9,4,26.7,2,122,120,baglema01
20,Marvin Bagley III,C,24,WAS,24,15,575,10.7,18.5,0.581,0.7,1.4,0.471,10.1,17.1,0.59,3.7,5.3,0.708,6.8,8.9,15.8,2.3,1.2,1.5,2.4,3.3,25.9,5,123,118,baglema01
21,Amari Bailey,PG,19,CHO,10,0,65,6.1,18.2,0.333,0.8,6.1,0.125,5.3,12.1,0.438,4.6,5.3,0.857,4.6,2.3,6.8,5.3,2.3,0,3,1.5,17.5,-26,96,122,baileam01
22,Patrick Baldwin Jr.,SF,21,WAS,38,7,493,5.6,14.7,0.381,2.9,9.2,0.32,2.7,5.5,0.483,1.8,2.7,0.679,1.6,10.1,11.7,2.8,1.7,1.4,1.8,5.3,15.9,-16,100,116,baldwpa01
23,LaMelo Ball,PG,22,CHO,22,22,711,12.7,29.4,0.433,4.9,13.7,0.355,7.8,15.7,0.5,6.2,7.2,0.865,2,5.8,7.8,12.2,2.8,0.3,5.8,5.5,36.5,-8,110,118,ballla01
24,Mo Bamba,C,25,PHI,57,17,740,6.5,13.2,0.49,1.7,4.3,0.391,4.8,8.9,0.537,2.3,3.3,0.68,5.1,10.7,15.8,2.7,1.5,4,2.6,6.7,16.8,7,116,109,bambamo01
25,Paolo Banchero,PF,21,ORL,80,80,2799,11.3,24.9,0.455,2.1,6.2,0.339,9.2,18.7,0.493,7.2,9.9,0.725,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,-3,109,112,banchpa01
26,Desmond Bane,SG,25,MEM,42,42,1443,12.2,26.3,0.464,4.6,12.2,0.381,7.6,14.1,0.536,4.7,5.5,0.87,1.2,5,6.3,7.8,1.5,0.7,3.8,4.1,33.8,-2,114,116,banede01
27,Dalano Banton,PG,24,TOT,54,9,1047,9.5,23.6,0.404,2.8,9.4,0.296,6.7,14.2,0.475,4.4,5.7,0.783,1.9,6.5,8.4,6,1.6,0.9,3.6,3,26.3,-14,103,117,bantoda01
27,Dalano Banton,PG,24,BOS,24,1,171,5.5,14.7,0.373,0.6,4.6,0.125,4.9,10.1,0.486,4.6,5.8,0.8,3.5,6.6,10.1,5.5,1.4,0.9,2.9,5.8,16.2,-7,106,113,bantoda01
27,Dalano Banton,PG,24,POR,30,8,876,10.3,25.3,0.408,3.2,10.3,0.311,7.1,15,0.474,4.4,5.6,0.78,1.6,6.4,8.1,6.1,1.6,1,3.8,2.5,28.2,-14,103,117,bantoda01
28,Dominick Barlow,PF,20,SAS,33,1,420,6.3,12.8,0.496,0.3,1,0.333,6,11.8,0.51,3.3,4.7,0.69,5.1,7.7,12.8,4.1,1.4,1.6,1,5.3,16.3,9,125,116,barlodo01
29,Harrison Barnes,PF,31,SAC,82,82,2381,7.1,14.9,0.474,3,7.9,0.387,4,7.1,0.571,3.2,4,0.801,1.4,3.7,5.1,2,1.1,0.2,1.2,2,20.4,3,122,119,barneha02
30,Scottie Barnes,SG,22,TOR,60,60,2094,10.3,21.7,0.475,2.3,6.8,0.341,8,14.9,0.536,4.5,5.8,0.781,3.3,8.1,11.4,8.4,1.7,2,3.8,2.7,27.5,-2,114,116,barnesc01
31,RJ Barrett,SG,23,TOT,58,58,1838,11.7,23.5,0.495,2.4,6.7,0.36,9.3,16.8,0.549,5.6,7.8,0.715,1.4,7,8.4,5.2,0.8,0.6,3.4,3.5,31.3,-7,112,119,barrerj01
31,RJ Barrett,SG,23,NYK,26,26,766,10.8,25.5,0.423,2.8,8.6,0.331,8,17,0.469,6.8,8.2,0.831,1.3,6.1,7.3,4.1,0.8,0.6,3.1,3,31.2,-6,110,116,barrerj01
31,RJ Barrett,SG,23,TOR,32,32,1072,12.3,22.2,0.553,2.1,5.4,0.392,10.1,16.8,0.605,4.7,7.5,0.629,1.5,7.7,9.2,5.9,0.9,0.6,3.6,3.8,31.4,-6,114,120,barrerj01
32,Charles Bassey,C,23,SAS,19,0,205,6.7,9.3,0.725,0,0.2,0,6.7,9,0.744,1.2,1.4,0.833,5.3,12.3,17.6,4.9,1.9,3.9,3.5,7.2,14.6,17,126,109,bassech01
33,Emoni Bates,SF,20,CLE,15,0,133,5.6,18.2,0.306,3.7,12.3,0.303,1.9,5.9,0.313,0.4,1.5,0.25,0.4,4.8,5.2,3.7,0.4,0.7,3,1.9,15.2,-37,80,117,batesem01
34,Keita Bates-Diop,SF,28,TOT,53,8,665,5.3,12.2,0.434,1.5,5.1,0.304,3.8,7.1,0.526,2.4,3.1,0.762,2.3,5.8,8.1,2.8,1.8,1.6,1.1,2.6,14.5,2,116,114,bateske01
34,Keita Bates-Diop,SF,28,PHO,39,8,597,5.2,12.3,0.427,1.6,5.2,0.313,3.6,7,0.512,2.1,2.9,0.722,2.5,5.8,8.3,2.8,1.8,1.6,1.1,2.7,14.2,2,116,114,bateske01
34,Keita Bates-Diop,SF,28,BRK,14,0,68,5.8,11.7,0.5,0.7,3.6,0.2,5.1,8,0.636,4.4,4.4,1,0.7,5.8,6.6,2.9,2.2,1.5,1.5,1.5,16.8,8,123,115,bateske01
35,Nicolas Batum,PF,35,TOT,60,38,1529,3.7,8.2,0.453,2.3,6,0.395,1.4,2.3,0.606,0.5,0.7,0.714,2.3,5.7,8,4.1,1.5,1.2,1.3,3.5,10.3,11,126,115,batumni01
35,Nicolas Batum,PF,35,LAC,3,0,54,2.7,7.3,0.375,1.8,6.4,0.286,0.9,0.9,1,0,0,,0,6.4,6.4,4.6,2.7,3.7,0.9,4.6,7.3,2,112,110,batumni01
35,Nicolas Batum,PF,35,PHI,57,38,1475,3.8,8.3,0.456,2.4,5.9,0.399,1.4,2.3,0.6,0.5,0.7,0.714,2.3,5.7,8,4.1,1.5,1.1,1.3,3.5,10.4,12,127,115,batumni01
36,Darius Bazley,PF,23,TOT,9,0,152,5.7,9.5,0.6,0.6,2.5,0.25,5.1,7,0.727,3.2,3.8,0.833,2.5,6.4,8.9,2.2,1.9,2.2,2.5,1,15.3,3,121,118,bazleda01
36,Darius Bazley,PF,23,PHI,3,0,10,0,4.9,0,0,0,,0,4.9,0,0,0,,0,4.9,4.9,9.8,0,0,4.9,0,0,-70,51,121,bazleda01
36,Darius Bazley,PF,23,UTA,6,0,142,6.1,9.9,0.621,0.7,2.7,0.25,5.4,7.1,0.762,3.4,4.1,0.833,2.7,6.5,9.2,1.7,2,2.4,2.4,1,16.3,7,125,118,bazleda01
37,Bradley Beal,SG,30,PHO,53,53,1767,10.4,20.3,0.513,2.8,6.5,0.43,7.6,13.8,0.552,3,3.7,0.813,1.5,4.9,6.4,7.3,1.4,0.7,3.6,3.5,26.6,0,117,117,bealbr01
38,Malik Beasley,SG,27,MIL,79,77,2337,6.6,14.8,0.443,4.6,11.1,0.413,2,3.7,0.533,0.5,0.7,0.714,0.8,5.1,6,2.2,1.2,0.2,1.1,3.2,18.3,-1,117,118,beaslma01
39,MarJon Beauchamp,SF,23,MIL,48,1,608,6.4,13.1,0.488,2.4,5.9,0.4,4,7.2,0.56,1.5,2.2,0.679,1.7,6.1,7.8,2.5,1,0.6,2.1,4.3,16.7,-7,111,118,beaucma01
40,Jules Bernard,SG,24,WAS,19,0,149,9.1,20.1,0.453,3.5,9.1,0.379,5.6,11,0.514,1.6,2.8,0.556,3.1,5,8.2,5,0.9,0.3,2.5,4.4,23.2,-13,109,122,bernaju01
41,D?vis Bert?ns,PF,31,TOT,43,1,674,6.7,17.1,0.393,5.5,14.6,0.38,1.2,2.5,0.471,2.2,2.4,0.909,0.7,3.8,4.5,2.6,1.9,0.9,1.3,4.1,21.2,-6,114,120,bertada01
41,D?vis Bert?ns,PF,31,OKC,15,0,91,5.3,13.7,0.385,5.3,12.7,0.417,0,1.1,0,7.4,7.9,0.933,1.1,4.2,5.3,4.8,1.6,1.6,0.5,5.3,23.2,32,146,114,bertada01
41,D?vis Bert?ns,PF,31,CHO,28,1,583,6.9,17.6,0.394,5.6,14.9,0.375,1.4,2.7,0.5,1.4,1.5,0.889,0.6,3.7,4.3,2.2,1.9,0.8,1.4,3.9,20.8,-11,109,120,bertada01
42,Patrick Beverley,PG,35,TOT,73,13,1462,5.3,12.6,0.417,2,6,0.337,3.2,6.6,0.49,2.5,3,0.822,1.6,6.3,8,7.1,1.4,1,2.2,4.3,15,1,116,115,beverpa01
42,Patrick Beverley,PG,35,PHI,47,5,919,5.6,12.9,0.432,1.9,5.8,0.321,3.7,7.1,0.523,2.7,3.4,0.81,1.6,6.2,7.8,7.7,1.3,1,2.6,4.4,15.7,-1,115,116,beverpa01
42,Patrick Beverley,PG,35,MIL,26,8,543,4.8,12.2,0.391,2.3,6.4,0.361,2.5,5.8,0.424,2,2.4,0.852,1.7,6.6,8.3,6,1.7,1.2,1.4,4,13.9,3,118,115,beverpa01
43,Saddiq Bey,SF,24,ATL,63,51,2062,6.7,16.2,0.416,2.6,8.3,0.316,4.1,7.9,0.522,4,4.7,0.837,3.9,5.7,9.6,2.1,1.2,0.3,1.3,2,20.1,-1,120,121,beysa01
44,Goga Bitadze,C,24,ORL,62,33,957,6.5,10.8,0.603,0.1,0.7,0.143,6.4,10.1,0.636,2.9,4.5,0.655,5.6,9.2,14.8,4.1,1.7,3.7,2.3,5.5,16.1,21,128,107,bitadgo01
45,Onuralp Bitim,SG,24,CHI,23,1,268,6,15.6,0.381,2.2,8.2,0.273,3.7,7.4,0.5,0.7,0.9,0.8,1.1,4.8,6,2.4,0.6,0.4,1.9,4.5,14.9,-27,94,121,bitimon01
46,Bismack Biyombo,C,31,TOT,40,27,791,4.6,8.1,0.565,0,0,,4.6,8.1,0.565,1.6,3.3,0.481,3.8,9.1,12.9,3.3,0.7,2.3,2.6,5.5,10.7,-6,108,114,biyombi01
46,Bismack Biyombo,C,31,MEM,30,27,718,4.6,8.1,0.563,0,0,,4.6,8.1,0.563,1.5,3.1,0.478,3.9,9.1,13,3.5,0.7,2.3,2.6,5.6,10.6,-6,108,114,biyombi01
46,Bismack Biyombo,C,31,OKC,10,0,73,4.6,7.9,0.583,0,0,,4.6,7.9,0.583,2.6,5.3,0.5,3.3,8.6,11.9,1.3,0.7,2,2.6,4.6,11.9,-6,107,113,biyombi01
47,Anthony Black,PG,20,ORL,69,33,1164,4.9,10.5,0.466,1.6,4,0.394,3.3,6.5,0.51,2.1,3.4,0.613,1.4,4.5,5.9,3.9,1.5,0.9,2.4,4.7,13.4,-5,108,113,blackan01
48,Leaky Black,SF,24,CHO,26,3,284,4.3,9,0.481,1.6,3.5,0.45,2.8,5.6,0.5,1.7,2.6,0.667,1.6,6.8,8.3,4.2,1.4,1.9,1,3.3,12,5,124,119,blackle01
49,Buddy Boeheim,SF,24,DET,10,0,84,5.2,16.6,0.31,4.6,14.3,0.32,0.6,2.3,0.25,4.6,5.7,0.8,1.7,4,5.7,1.7,0,0.6,0,2.9,19.5,-8,116,124,boehebu01
50,Bogdan Bogdanovi?,SG,31,ATL,79,33,2401,9.4,22,0.428,4.8,12.8,0.374,4.6,9.2,0.503,3,3.3,0.921,1.1,4.4,5.4,4.9,1.9,0.5,2.2,3.6,26.6,-4,116,120,bogdabo01
51,Bojan Bogdanovi?,SF-PF,34,TOT,57,27,1478,10.2,22.6,0.454,4.4,11.1,0.398,5.8,11.5,0.507,3.9,4.9,0.785,0.7,4.3,5,3.2,1,0.2,3.3,3.1,28.8,-12,108,120,bogdabo02
51,Bojan Bogdanovi?,PF,34,DET,28,27,921,10.4,22.2,0.468,4.5,10.8,0.415,5.9,11.4,0.518,4.2,5.4,0.779,0.7,4.2,4.9,3.7,1.2,0.2,3.3,3,29.5,-11,110,121,bogdabo02
51,Bojan Bogdanovi?,SF,34,NYK,29,0,557,10,23.2,0.43,4.3,11.5,0.37,5.7,11.7,0.488,3.3,4.1,0.8,0.8,4.4,5.3,2.4,0.6,0.1,3.4,3.4,27.4,-14,104,118,bogdabo02
52,Bol Bol,PF,24,PHO,43,0,469,9.7,15.7,0.616,2.3,5.4,0.423,7.4,10.3,0.717,1.6,2,0.789,3.3,10.9,14.3,1.8,1,2.6,2,4.4,23.2,18,130,112,bolbo01
53,Marques Bolden,C,25,TOT,11,2,121,6.9,10.2,0.68,0,0.4,0,6.9,9.8,0.708,1.2,1.6,0.75,4.1,9.8,13.9,1.6,1.2,2.9,1.2,4.1,15.1,20,136,116,boldema01
53,Marques Bolden,C,25,MIL,2,0,3,0,0,,0,0,,0,0,,0,0,,0,32,32,0,0,0,0,16,0,-106,,106,boldema01
53,Marques Bolden,C,25,CHO,9,2,118,7.1,10.5,0.68,0,0.4,0,7.1,10,0.708,1.3,1.7,0.75,4.2,9.2,13.4,1.7,1.3,2.9,1.3,3.8,15.5,20,136,116,boldema01
54,Devin Booker,PG,27,PHO,68,68,2447,12.8,26,0.492,3,8.3,0.364,9.8,17.7,0.552,8.1,9.1,0.886,1.1,5,6.1,9.4,1.2,0.6,3.6,4.1,36.7,7,124,117,bookede01
55,Brandon Boston Jr.,SF,22,LAC,32,0,345,9.3,23,0.404,2,7.4,0.269,7.3,15.6,0.468,3.3,4.7,0.697,2.7,4.7,7.4,1.9,1.6,1.1,3.4,5.7,23.9,-24,93,117,bostobr01
56,Chris Boucher,PF,31,TOR,50,0,705,7.5,14.9,0.507,2.1,6.4,0.33,5.4,8.4,0.642,4.9,6.3,0.772,4.2,9.9,14.2,1.6,1,1.6,1.9,4.7,22.1,7,124,117,bouchch01
57,James Bouknight,SG,23,CHO,14,0,81,11,25,0.439,7.9,18.3,0.433,3,6.7,0.455,0.6,1.2,0.5,0.6,4.9,5.5,3.7,0.6,0.6,1.2,1.8,30.5,-8,115,123,bouknja01
58,Jamaree Bouyea,PG,24,TOT,9,0,95,5.1,14.3,0.357,0.5,4.6,0.111,4.6,9.7,0.474,0,0,,1.5,8.2,9.7,5.6,0.5,0,4.6,5.1,10.7,-47,73,120,bouyeja01
58,Jamaree Bouyea,PG,24,POR,6,0,57,4.3,18.2,0.238,0,6.9,0,4.3,11.3,0.385,0,0,,1.7,6.9,8.7,6.9,0,0,6.9,2.6,8.7,-67,55,122,bouyeja01
58,Jamaree Bouyea,PG,24,SAS,3,0,38,6.2,8.7,0.714,1.2,1.2,1,5,7.5,0.667,0,0,,1.2,10,11.2,3.7,1.2,0,1.2,8.7,13.7,25,141,116,bouyeja01
59,Malaki Branham,PG,20,SAS,75,29,1594,8.1,18.7,0.432,2.8,8,0.347,5.3,10.7,0.494,1.6,1.9,0.873,0.8,3.6,4.4,4.6,0.8,0.2,2.7,2.8,20.5,-20,101,121,branhma01
60,Christian Braun,SG,22,DEN,82,4,1655,6.6,14.5,0.46,1.9,4.9,0.384,4.8,9.6,0.498,2.8,4,0.694,2.4,6.8,9.2,4,1.3,1,1.6,4.1,18,2,116,114,braunch01
61,Mikal Bridges,SF,27,BRK,82,82,2854,9.8,22.5,0.436,3.8,10.3,0.372,6,12.2,0.49,4.5,5.5,0.814,1.2,5.3,6.5,5.2,1.4,0.5,2.8,2,27.9,-6,112,118,bridgmi01
62,Miles Bridges,SF,25,CHO,69,67,2581,10.7,23.1,0.462,3,8.6,0.349,7.7,14.5,0.529,3.3,4,0.825,1.4,8.3,9.7,4.4,1.2,0.6,2.6,2.3,27.7,-12,108,120,bridgmi02
63,Oshae Brissett,SF,25,BOS,55,1,630,5.3,12,0.444,1.2,4.3,0.273,4.2,7.7,0.541,3.9,6.5,0.602,4.8,7.8,12.5,3.5,1.5,0.6,1.6,4.2,15.8,9,121,112,brissos01
64,Izaiah Brockington,PG,24,NOP,1,0,3,32.7,81.7,0.4,0,16.3,0,32.7,65.4,0.5,0,0,,16.3,16.3,32.7,0,0,0,0,0,65.4,-20,93,113,brockiz01
65,Malcolm Brogdon,PG,31,POR,39,25,1121,9.6,21.8,0.44,3.6,8.8,0.412,6,13.1,0.458,4.2,5.1,0.819,1.2,5.3,6.5,9.4,1.2,0.4,2.6,2.6,27,0,120,120,brogdma01
66,Armoni Brooks,PG,25,BRK,10,0,104,7.1,21.9,0.326,5.2,15.2,0.344,1.9,6.7,0.286,0.5,1,0.5,3.3,5.2,8.6,2.4,0.5,0.5,1.4,1.4,20,-22,98,120,brookar01
67,Dillon Brooks,SF,28,HOU,72,72,2227,7.2,16.7,0.428,2.9,8.1,0.359,4.3,8.7,0.492,2.7,3.2,0.844,1.2,4.2,5.4,2.6,1.4,0.2,1.9,5.2,19.9,-7,109,116,brookdi01
68,Bruce Brown,PG-SG,27,TOT,67,44,1866,7.1,14.9,0.478,1.4,4.2,0.323,5.8,10.7,0.538,3,3.6,0.824,1.4,5.9,7.3,4.9,1.5,0.4,2.2,3.8,18.6,-7,113,120,brownbr01
68,Bruce Brown,SG,27,IND,33,33,981,7.2,15.1,0.475,1.6,4.9,0.327,5.6,10.2,0.545,3.2,3.9,0.817,1.2,6.2,7.4,4.8,1.7,0.4,2,3.9,19.1,-3,116,119,brownbr01
68,Bruce Brown,PG,27,TOR,34,11,885,7,14.6,0.481,1.1,3.4,0.317,5.9,11.2,0.532,2.7,3.3,0.833,1.5,5.6,7.1,5,1.3,0.5,2.5,3.7,17.9,-11,110,121,brownbr01
69,Charlie Brown Jr.,SG,26,NYK,8,0,37,2.7,13.6,0.2,2.7,9.5,0.286,0,4.1,0,0,0,,1.4,1.4,2.7,0,0,2.7,2.7,6.8,8.2,-58,60,118,brownch02
70,Greg Brown III,PF,22,DAL,6,0,40,6,13.2,0.455,1.2,3.6,0.333,4.8,9.6,0.5,4.8,10.8,0.444,3.6,7.2,10.8,4.8,0,4.8,4.8,6,18,-18,96,114,browngr01
71,Jaylen Brown,SF,27,BOS,70,70,2343,13.2,26.5,0.499,3.1,8.6,0.354,10.2,17.8,0.57,4.4,6.3,0.703,1.8,6.4,8.2,5.3,1.8,0.8,3.5,3.9,34,1,113,112,brownja02
72,Kendall Brown,SG,20,IND,15,0,63,6,11.2,0.533,0,1.5,0,6,9.7,0.615,3.7,6,0.625,2.2,1.5,3.7,3.7,0,0,1.5,6.7,15.7,-7,119,126,brownke03
73,Kobe Brown,PF,24,LAC,44,0,394,4.6,11.3,0.411,1.8,6,0.292,2.9,5.3,0.548,0.1,0.3,0.5,2.5,5.3,7.8,3.1,1.5,0.8,1.1,6.1,11.2,-6,111,117,brownko01
74,Moses Brown,C,24,POR,22,5,200,8.1,16,0.508,0,0,,8.1,16,0.508,2.2,7.7,0.29,9.1,12.1,21.2,1.7,1.2,1.7,2.7,6.7,18.5,-11,103,114,brownmo01
75,Troy Brown Jr.,SF,24,TOT,59,15,827,5,13.3,0.372,2.8,8.3,0.333,2.2,5,0.435,1.9,2.2,0.865,1.5,7,8.5,3.5,1.4,0.2,1.8,2.5,14.6,-10,105,115,browntr01
75,Troy Brown Jr.,SF,24,MIN,37,3,410,6.3,14.2,0.441,3.7,10.1,0.369,2.5,4.1,0.618,2.3,2.7,0.864,1.7,7,8.7,4.2,1,0.2,2.2,3.1,18.6,6,118,112,browntr01
75,Troy Brown Jr.,SF,24,DET,22,12,417,3.7,12.5,0.296,1.8,6.6,0.281,1.8,5.9,0.314,1.5,1.7,0.867,1.3,7,8.3,2.9,1.8,0.1,1.4,1.8,10.7,-28,91,119,browntr01
76,Jalen Brunson,PG,27,NYK,77,77,2726,14.6,30.5,0.479,3.9,9.7,0.401,10.7,20.8,0.516,7.8,9.2,0.847,0.8,4.3,5.1,9.6,1.3,0.2,3.4,2.7,40.9,7,124,117,brunsja01
77,Thomas Bryant,C,26,MIA,38,4,441,9.7,16.9,0.577,0.5,2.5,0.182,9.3,14.4,0.646,4.6,5.3,0.872,4.5,11.4,16,2.6,1.1,1.8,2.4,5.2,24.5,16,125,109,bryanth01
78,Kobe Bufkin,SG,20,ATL,17,0,196,8.3,22.5,0.37,2.2,9.8,0.225,6.1,12.7,0.481,1,2,0.5,1.5,6.6,8.1,6.6,1.7,1.2,2.4,4.9,19.8,-23,95,118,bufkiko01
79,Reggie Bullock,SF,32,HOU,44,0,417,4,9.5,0.415,3.1,7.8,0.403,0.8,1.7,0.467,0.1,0.1,1,0.7,7.8,8.5,1.7,1.4,0.6,1.2,3.4,11.2,-2,112,114,bullore01
80,Alec Burks,SG,32,TOT,66,1,1212,8.4,22.9,0.369,5,13.3,0.376,3.5,9.6,0.36,5.8,6.7,0.868,1,5.1,6,3.5,1.1,0.5,1.9,3,27.7,-9,111,120,burksal01
80,Alec Burks,SG,32,DET,43,0,901,8.5,21.7,0.394,5.3,13.2,0.401,3.3,8.5,0.384,6.5,7.2,0.903,0.9,5,5.9,3.6,1.1,0.6,1.7,3.4,28.8,-3,118,121,burksal01
80,Alec Burks,SG,32,NYK,23,1,311,8.1,26.4,0.307,4.1,13.5,0.301,4.1,13,0.313,3.9,5.4,0.727,1.3,5.2,6.5,3.2,1.1,0.2,2.6,1.8,24.2,-25,92,117,burksal01
81,Jared Butler,SG,23,WAS,40,0,566,8.1,16.6,0.488,2,6.4,0.308,6.1,10.2,0.602,2.6,3,0.861,0.7,4,4.8,10.4,2.4,0.7,4.1,4.8,20.7,-8,111,119,butleja02
