Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NetRtg,ORtg,DRtg,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,74,18,1624,7.2,14.4,0.501,0.8,3,0.268,6.4,11.4,0.562,2.1,3.4,0.616,5.9,9.1,14.9,3,1.4,2.1,2.5,4.4,17.3,2,114,112,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,437,8.6,18.8,0.459,1.4,5.2,0.277,7.2,13.6,0.528,2.7,4.6,0.571,5.5,9.5,15,4.9,1.8,1.3,3.2,4.4,21.3,-10,106,116,achiupr01
1,Precious Achiuwa,PF,24,NYK,49,18,1187,6.7,12.7,0.525,0.6,2.1,0.26,6.1,10.6,0.578,1.9,3,0.643,6,8.9,14.9,2.3,1.3,2.4,2.3,4.4,15.8,7,118,111,achiupr01
2,Bam Adebayo,C,26,MIA,71,71,2416,10.9,21,0.521,0.3,0.9,0.357,10.6,20.1,0.528,6,8,0.755,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,6,115,109,adebaba01
3,Ochai Agbaji,SG,23,TOT,78,28,1641,5.2,12.7,0.411,1.8,6.2,0.294,3.4,6.5,0.523,1.1,1.6,0.661,2.2,4.2,6.4,2.4,1.4,1.3,1.9,3.4,13.4,-19,102,121,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,10,1003,5.1,12,0.426,2.3,6.8,0.331,2.8,5.1,0.551,0.7,1,0.75,1.7,4.4,6.1,2.3,1.3,1.4,1.6,3.2,13.2,-15,107,122,agbajoc01
3,Ochai Agbaji,SG,23,TOR,27,18,638,5.4,13.9,0.391,1.1,5.2,0.217,4.3,8.7,0.496,1.7,2.7,0.611,3,3.9,6.8,2.7,1.5,1.1,2.3,3.9,13.7,-25,95,120,agbajoc01
4,Santi Aldama,PF,23,MEM,61,35,1618,7.5,17.2,0.435,3.2,9.2,0.349,4.3,8,0.534,1.6,2.6,0.621,2.2,8.5,10.6,4.2,1.3,1.6,2.1,2.7,19.8,-5,109,114,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,82,20,1921,6.1,13.8,0.439,3.4,8.6,0.391,2.7,5.2,0.517,1.3,1.7,0.8,0.9,3.4,4.3,5.2,1.6,1.1,2,3.7,16.9,4,115,111,alexani01
6,Grayson Allen,SG,28,PHO,75,74,2513,6.6,13.3,0.499,4,8.6,0.461,2.6,4.6,0.57,2.5,2.9,0.878,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,13,130,117,allengr01
7,Jarrett Allen,C,25,CLE,77,77,2442,10.5,16.6,0.634,0,0.1,0,10.5,16.4,0.638,4.7,6.4,0.742,4.9,11.5,16.4,4.2,1.1,1.6,2.4,3,25.7,21,131,110,allenja01
8,Timmy Allen,SF,24,MEM,5,0,125,2.3,9,0.261,0,2.7,0,2.3,6.3,0.375,0.4,0.8,0.5,1.6,5.1,6.6,2,1.6,0,0.8,7,5.1,-44,73,117,allenti01
9,Jose Alvarado,PG,25,NOP,56,0,1028,6.8,16.5,0.412,3.7,9.9,0.377,3.1,6.6,0.464,1.7,2.5,0.673,1.2,4.9,6.1,5.6,2.8,0.7,1.9,4.2,18.9,0,112,112,alvarjo01
10,Kyle Anderson,PF,30,MIN,79,10,1782,5.5,12,0.46,0.3,1.3,0.229,5.2,10.7,0.488,2.7,3.8,0.708,1.7,5.9,7.6,9.2,2,1.3,2.5,3.6,14,5,114,109,anderky01
11,Giannis Antetokounmpo,PF,29,MIL,73,73,2567,15.7,25.6,0.611,0.6,2.3,0.274,15,23.3,0.645,9.6,14.6,0.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,14,126,112,antetgi01
12,Thanasis Antetokounmpo,PF,31,MIL,34,0,155,5,9.3,0.533,0,0.3,0,5,9,0.552,0,0.6,0,2.2,1.9,4,5.3,2.2,1.2,4.3,7.4,9.9,-25,92,117,antetth01
