Stat,League_Average
FTA_100,3.906403941
FT%,0.747570629
ORB_100,2.424261084
DRB_100,6.643965517
TRB_100,9.068965517
STL_100,1.591871921
BLK_100,0.943103448
TOV_100,2.534605911
PTS_100,18.79433498
