Player,Season,Team,Minutes,Position,LEBRON,O LEBRON,D LEBRON,LEBRON WAR,LEBRON Contract Value,Box LEBRON,BOXOLEBRON,BOXDLEBRON
Anthony Edwards,2021-22,MIN,"2,466",SG,0.97,1.25,-0.27,5.4,"15,585,528.00",1.1,1.52,-0.41
Paul Reed,2021-22,PHI,302,C,0.93,-0.07,1,0.6,"1,885,787.00",0.44,-0.64,1.08
De'Anthony Melton,2021-22,MEM,"1,657",SG,0.91,0.04,0.87,3.5,"10,274,123.00",0.8,0.24,0.56
Derrick White,2021-22,SAS/BOS,"2,199",SG,0.89,0.28,0.61,4.7,"13,557,213.00",0.49,0.47,0.02
Isaiah Jackson,2021-22,IND,541,PF,0.89,-0.64,1.53,1.1,"3,335,422.00",0.92,-0.79,1.71
Omer Yurtseven,2021-22,MIA,706,C,0.87,-0.4,1.27,1.5,"4,319,142.00",0.61,-0.53,1.14
Justise Winslow,2021-22,LAC/POR,775,SF,0.85,-0.08,0.93,1.6,"4,713,872.00",-0.06,-0.89,0.83
Robert Covington,2021-22,POR/LAC,"1,939",PF-SF,0.84,-1.85,2.69,4.1,"11,777,598.00",-0.46,-1.85,1.4
Tyrese Haliburton,2021-22,SAC/IND,"2,694",SG-PG,0.81,1.28,-0.47,5.6,"16,218,509.00",1.09,1.13,-0.04
Aaron Gordon,2021-22,DEN,"2,376",PF,0.8,1.46,-0.66,4.9,"14,247,336.00",0.26,0.41,-0.15
Alex Caruso,2021-22,CHI,"1,147",SG,0.8,-0.64,1.43,2.4,"6,864,912.00",-0.11,-0.82,0.71
John Konchar,2021-22,MEM,"1,292",SG,0.76,0.14,0.63,2.6,"7,652,647.00",-0.49,-1.12,0.64
Tobias Harris,2021-22,PHI,"2,543",PF,0.74,0.95,-0.21,5.2,"14,951,561.00",0.3,0.25,0.05
Bismack Biyombo,2021-22,PHO,506,C,0.73,-0.57,1.3,1,"2,963,475.00",-0.35,-1.06,0.71
Usman Garuba,2021-22,HOU,240,PF,0.71,-0.41,1.12,0.5,"1,394,658.00",0.01,-1.25,1.26
Zach LaVine,2021-22,CHI,"2,328",SF,0.68,1.85,-1.16,4.6,"13,433,711.00",1.06,2.33,-1.27
Willy Hernangomez,2021-22,NOP,839,C,0.65,1.53,-0.88,1.7,"4,789,677.00",0.34,0.66,-0.33
Ricky Rubio,2021-22,CLE,970,PG,0.58,-0.03,0.61,1.9,"5,400,849.00",0.39,0.41,-0.02
Devonte' Graham,2021-22,NOP,"2,162",PG,0.57,1.37,-0.79,4.1,"12,025,765.00",-0.15,0.67,-0.82
Tyus Jones,2021-22,MEM,"1,549",PG,0.56,0.72,-0.16,3,"8,572,633.00",0.69,1.01,-0.32
Cameron Johnson,2021-22,PHO,"1,730",PF,0.52,0.08,0.44,3.3,"9,446,031.00",0.41,0.48,-0.07
Ivica Zubac,2021-22,LAC,"1,852",C,0.51,-1.05,1.56,3.5,"10,072,570.00",0.81,-0.58,1.39
Brook Lopez,2021-22,MIL,298,C,0.47,-0.26,0.72,0.6,"1,600,806.00",0.06,-0.19,0.25
Markelle Fultz,2021-22,ORL,360,PG,0.47,0.31,0.16,0.7,"1,929,160.00",0.39,0.38,0.01
Royce O'Neale,2021-22,UTA,"2,406",SF,0.46,-0.65,1.11,4.4,"12,870,614.00",0.79,-0.51,1.3
Spencer Dinwiddie,2021-22,WAS/DAL,"1,980",PG,0.44,0.65,-0.21,3.6,"10,515,943.00",0.58,1.11,-0.53
D'Angelo Russell,2021-22,MIN,"2,077",PG,0.44,2.08,-1.64,3.8,"11,012,819.00",1.34,2.17,-0.83
Monte Morris,2021-22,DEN,"2,239",PG,0.44,1.07,-0.63,4.1,"11,885,926.00",0.57,0.86,-0.29
Deni Avdija,2021-22,WAS,"1,984",SF,0.44,-0.74,1.18,3.6,"10,518,179.00",-0.93,-1.34,0.4
Maxi Kleber,2021-22,DAL,"1,450",PF,0.42,-1.21,1.64,2.6,"7,655,909.00",0.08,-1.27,1.35
Nathan Knight,2021-22,MIN,267,PF,0.42,0.23,0.19,0.5,"1,408,616.00",-0.08,0.05,-0.13
Michael Porter Jr.,2021-22,DEN,265,SF,0.41,-0.64,1.05,0.5,"1,393,948.00",-0.25,-0.4,0.15
Andrew Wiggins,2021-22,GSW,"2,330",SF,0.4,-0.53,0.93,4.2,"12,194,364.00",1.32,0.57,0.74
Bruce Brown,2021-22,BRK,"1,774",SF,0.4,0.04,0.36,3.2,"9,292,621.00",0.02,-0.71,0.72
Dillon Brooks,2021-22,MEM,885,SF,0.35,0.68,-0.32,1.6,"4,555,040.00",-0.53,0.44,-0.97
Nemanja Bjelica,2021-22,GSW,"1,143",C,0.34,-0.56,0.9,2,"5,842,575.00",0.56,-0.46,1.02
David Nwaba,2021-22,HOU,609,SF,0.34,-0.36,0.7,1.1,"3,112,882.00",0.2,-0.63,0.83
