Player,Season,Team,Minutes,Position,LEBRON,O LEBRON,D LEBRON,LEBRON WAR,LEBRON Contract Value,Box LEBRON,BOXOLEBRON,BOXDLEBRON
Cat Barber,2021-22,ATL,13,PG,-0.43,-0.28,-0.15,0,"46,984.00",-0.43,-0.24,-0.18
Petr Cornelie,2021-22,DEN,38,PF,-0.43,-0.13,-0.3,0,"138,781.00",-0.44,-0.16,-0.28
Aleksej Pokusevski,2021-22,OKC,"1,233",PF,-0.43,-1.47,1.04,1.6,"4,515,175.00",-1.53,-1.8,0.27
Day'Ron Sharpe,2021-22,BRK,391,PF,-0.43,0.27,-0.7,0.5,"1,428,736.00",-0.58,-0.02,-0.56
Damyean Dotson,2021-22,NYK,21,SG,-0.44,-0.19,-0.25,0,"74,679.00",-0.53,-0.33,-0.19
Jarron Cumberland,2021-22,POR,12,SG,-0.44,-0.3,-0.15,0,"44,745.00",-0.56,-0.38,-0.18
Naji Marshall,2021-22,NOP,735,SF,-0.44,-0.43,-0.01,0.9,"2,675,617.00",-0.63,-0.48,-0.15
Mac McClung,2021-22,CHI/LAL,24,SG-PG,-0.44,-0.13,-0.32,0,"88,709.00",-0.33,-0.17,-0.17
Josh Richardson,2021-22,BOS/SAS,"1,600",SG,-0.45,-0.17,-0.28,2,"5,787,991.00",-1.06,-0.74,-0.33
Langston Galloway,2021-22,BRK/MIL,107,SG,-0.46,-0.41,-0.05,0.1,"384,320.00",-0.79,-0.45,-0.34
Malik Newman,2021-22,CLE,8,PG,-0.46,-0.25,-0.21,0,"27,666.00",-0.51,-0.28,-0.24
Trevon Scott,2021-22,CLE,11,SF,-0.46,-0.29,-0.17,0,"40,862.00",-0.55,-0.32,-0.23
Miles McBride,2021-22,NYK,372,PG,-0.46,-0.52,0.07,0.5,"1,342,810.00",-1.3,-1.17,-0.13
Eugene Omoruyi,2021-22,DAL,18,SF,-0.46,-0.22,-0.24,0,"64,245.00",-0.54,-0.23,-0.31
Derrick Rose,2021-22,NYK,636,PG,-0.47,-0.11,-0.37,0.8,"2,277,646.00",-0.59,0.19,-0.78
James Ennis III,2021-22,BRK/LAC/DEN,56,SF,-0.47,-0.2,-0.27,0.1,"199,381.00",-0.53,-0.2,-0.33
Pat Connaughton,2021-22,MIL,"1,691",SG,-0.48,-0.6,0.13,2.1,"6,042,151.00",-0.01,0.04,-0.05
Tyler Herro,2021-22,MIA,"2,151",SG,-0.48,0.82,-1.31,2.6,"7,657,893.00",0.11,0.98,-0.87
Isaac Okoro,2021-22,CLE,"1,981",SF,-0.48,-0.88,0.4,2.4,"7,061,707.00",-1.25,-1.68,0.43
Aleem Ford,2021-22,ORL,74,SF,-0.48,-0.59,0.11,0.1,"261,873.00",-0.39,-0.57,0.19
Kevin Huerter,2021-22,ATL,"2,188",SG,-0.49,-0.22,-0.27,2.7,"7,746,296.00",-0.77,-0.16,-0.61
Chuma Okeke,2021-22,ORL,"1,749",PF,-0.49,-1.66,1.17,2.1,"6,184,845.00",-0.53,-1.46,0.93
Caleb Martin,2021-22,MIA,"1,372",SF,-0.5,-1.06,0.55,1.7,"4,833,083.00",-0.2,-0.84,0.65
Greg Monroe,2021-22,MIN/WAS/MIL/UTA,195,C,-0.51,-0.01,-0.51,0.2,"682,882.00",-0.61,-0.39,-0.21
Kyle Anderson,2021-22,MEM,"1,484",PF,-0.51,-1.43,0.93,1.8,"5,211,622.00",0.44,-0.95,1.39
Max Strus,2021-22,MIA,"1,587",SF,-0.51,0.04,-0.54,1.9,"5,569,966.00",-0.18,0.32,-0.51
Derrick Favors,2021-22,OKC,653,C,-0.52,-1.92,1.4,0.8,"2,272,324.00",-1.18,-1.73,0.55
Coby White,2021-22,CHI,"1,675",PG,-0.52,1.15,-1.67,2,"5,841,560.00",-1.39,-0.07,-1.32
Feron Hunt,2021-22,NYK,8,SF,-0.53,-0.33,-0.21,0,"28,951.00",-0.45,-0.25,-0.2
Cody Zeller,2021-22,POR,355,C,-0.54,-0.83,0.28,0.4,"1,223,341.00",-0.94,-0.87,-0.07
Justin Anderson,2021-22,CLE/IND,316,SF,-0.54,-0.06,-0.48,0.4,"1,088,093.00",-0.14,-0.05,-0.09
Marvin Bagley III,2021-22,SAC/DET,"1,146",PF,-0.54,-0.03,-0.51,1.4,"3,952,817.00",-0.65,-0.34,-0.31
Zylan Cheatham,2021-22,UTA,5,SF,-0.54,-0.03,-0.51,0,"17,889.00",-0.45,0.07,-0.52
Juancho Hernangomez,2021-22,BOS/SAS/UTA,445,PF,-0.55,-0.24,-0.32,0.5,"1,522,140.00",-0.48,-0.42,-0.06
Frank Ntilikina,2021-22,DAL,685,PG,-0.56,-0.94,0.38,0.8,"2,339,497.00",-1.26,-1.05,-0.22
Boban Marjanovic,2021-22,DAL,128,C,-0.57,-0.75,0.18,0.1,"435,075.00",-1.05,-0.72,-0.34
Neemias Queta,2021-22,SAC,120,C,-0.57,-0.96,0.39,0.1,"406,529.00",-0.72,-0.85,0.14
Juan Toscano-Anderson,2021-22,GSW,994,SF,-0.58,-1.14,0.56,1.2,"3,354,609.00",-0.42,-1.48,1.06
Rayjon Tucker,2021-22,DEN/MIL,71,SG,-0.58,-0.33,-0.25,0.1,"238,578.00",-0.52,-0.3,-0.21
Jaysean Paige,2021-22,DET,7,PG,-0.58,-0.45,-0.13,0,"22,305.00",-0.41,-0.35,-0.06
Devin Cannady,2021-22,ORL,145,PG,-0.58,-0.65,0.07,0.2,"488,074.00",-0.63,-0.65,0.02
Nicolas Batum,2021-22,LAC,"1,463",PF,-0.59,-1.77,1.18,1.7,"4,914,254.00",0.69,-0.7,1.39
Davis Bertans,2021-22,WAS/DAL,806,PF,-0.59,-0.2,-0.39,0.9,"2,707,577.00",-0.92,-0.35,-0.57
Seth Curry,2021-22,PHI/BRK,"2,134",SG,-0.59,0.01,-0.6,2.5,"7,157,778.00",-1,-0.33,-0.68
Kyle Kuzma,2021-22,WAS,"2,204",PF,-0.59,-0.33,-0.26,2.5,"7,391,812.00",0.24,0.09,0.15
Luke Kornet,2021-22,CLE/MIL/BOS,103,C,-0.59,-0.17,-0.41,0.1,"346,959.00",-0.89,-0.39,-0.5
Bol Bol,2021-22,DEN,81,PF,-0.59,-0.6,0.01,0.1,"270,622.00",-0.68,-0.52,-0.16
Damian Jones,2021-22,SAC,"1,017",C,-0.6,-1.32,0.72,1.2,"3,395,928.00",-0.4,-1.03,0.63
Quinndary Weatherspoon,2021-22,GSW,73,SG,-0.6,-0.36,-0.24,0.1,"244,990.00",-0.87,-0.52,-0.35
Jared Butler,2021-22,UTA,360,SG,-0.6,0.75,-1.35,0.4,"1,200,200.00",-0.15,0.36,-0.51
Gary Clark,2021-22,NOP,378,PF,-0.61,-0.77,0.16,0.4,"1,255,000.00",-0.66,-1.04,0.38
Amir Coffey,2021-22,LAC,"1,567",SG,-0.61,-0.14,-0.47,1.8,"5,203,185.00",-0.84,-0.48,-0.35
Vernon Carey Jr.,2021-22,CHO/WAS,44,C,-0.61,-0.34,-0.27,0.1,"146,340.00",-0.56,-0.34,-0.22
Trayvon Palmer,2021-22,DET,17,SG,-0.62,-0.64,0.02,0,"55,473.00",-0.52,-0.48,-0.04
Devon Dotson,2021-22,CHI,85,PG,-0.62,-0.4,-0.22,0.1,"280,493.00",-0.6,-0.39,-0.2
Carlik Jones,2021-22,DAL/DEN,23,PG,-0.62,-0.26,-0.36,0,"76,724.00",-0.52,-0.21,-0.31
Markus Howard,2021-22,DEN,176,SG,-0.64,0.58,-1.22,0.2,"575,239.00",-0.51,0.44,-0.95
Moses Wright,2021-22,LAC/DAL,15,PF,-0.64,-0.3,-0.35,0,"47,980.00",-0.53,-0.21,-0.31
Devontae Cacok,2021-22,SAS,121,PF,-0.65,-1.09,0.44,0.1,"391,660.00",-0.79,-1.19,0.4
Cheick Diallo,2021-22,DET,31,C,-0.66,-0.66,-0.01,0,"98,411.00",-0.55,-0.53,-0.03
Wayne Selden,2021-22,NYK,19,SG,-0.66,-0.35,-0.31,0,"61,722.00",-0.51,-0.31,-0.2
Dean Wade,2021-22,CLE,980,PF,-0.66,-1.85,1.19,1.1,"3,156,705.00",-1.25,-1.56,0.31
Xavier Sneed,2021-22,MEM/UTA,39,SF,-0.66,0,-0.66,0,"124,878.00",-0.73,-0.16,-0.57
George Hill,2021-22,MIL,"1,253",SG,-0.68,-0.86,0.18,1.4,"3,990,482.00",-1.44,-1.24,-0.2
Harrison Barnes,2021-22,SAC,"2,587",PF,-0.68,0.73,-1.4,2.8,"8,259,283.00",-1.02,0.25,-1.26
Wenyen Gabriel,2021-22,BRK/LAC/LAL,359,PF,-0.68,-0.2,-0.48,0.4,"1,142,474.00",-0.98,-0.86,-0.11
JaMychal Green,2021-22,DEN,"1,085",PF,-0.69,-0.93,0.23,1.2,"3,430,600.00",-0.08,-0.68,0.6
Malik Beasley,2021-22,MIN,"1,976",SG,-0.69,0.48,-1.17,2.2,"6,251,493.00",-0.76,0.8,-1.56
JaQuori McLaughlin,2021-22,DAL,11,PG,-0.69,-0.25,-0.44,0,"34,572.00",-0.55,-0.23,-0.32
Isaiah Stewart,2021-22,DET,"1,816",C,-0.7,-2.5,1.8,2,"5,711,925.00",-1.92,-2.4,0.49
Gabriel Deck,2021-22,OKC,56,PF,-0.7,-0.75,0.05,0.1,"175,183.00",-0.59,-0.65,0.06
Trey Murphy III,2021-22,NOP,864,SF,-0.7,-0.41,-0.29,0.9,"2,721,111.00",-0.94,-0.25,-0.69
Larry Nance Jr.,2021-22,POR/NOP,"1,040",PF,-0.71,-1.04,0.33,1.1,"3,244,215.00",-1,-1.21,0.21
Nerlens Noel,2021-22,NYK,562,C,-0.72,-3.25,2.53,0.6,"1,748,758.00",-0.44,-2.82,2.38
Shaquille Harrison,2021-22,BRK,23,SG,-0.72,-0.38,-0.33,0,"70,376.00",-0.68,-0.3,-0.38
Shake Milton,2021-22,PHI,"1,179",PG,-0.72,-0.46,-0.25,1.3,"3,677,007.00",-1.79,-0.98,-0.81
Terry Taylor,2021-22,IND,714,SG,-0.73,0.73,-1.47,0.8,"2,203,456.00",-1.48,0.14,-1.62
Richaun Holmes,2021-22,SAC,"1,074",C,-0.74,-1.49,0.75,1.1,"3,295,263.00",-0.66,-1.29,0.64
Jaylen Hoard,2021-22,OKC,240,SF,-0.74,-0.47,-0.27,0.3,"736,248.00",-0.18,-0.41,0.23
Anthony Gill,2021-22,WAS,463,PF,-0.74,-0.83,0.09,0.5,"1,421,911.00",-1.49,-1.33,-0.16
RJ Nembhard Jr.,2021-22,CLE,63,SG,-0.74,-0.42,-0.32,0.1,"192,755.00",-0.73,-0.44,-0.29
Chimezie Metu,2021-22,SAC,"1,279",C,-0.75,-1.9,1.14,1.3,"3,891,937.00",-0.47,-1.18,0.71
Tremont Waters,2021-22,TOR/WAS,50,PG,-0.75,-0.48,-0.28,0.1,"153,068.00",-0.8,-0.5,-0.29
Dennis Smith Jr.,2021-22,POR,638,PG,-0.76,-1.43,0.66,0.7,"1,934,810.00",-0.77,-1.16,0.4
Darren Collison,2021-22,LAL,37,PG,-0.77,-0.46,-0.31,0,"112,063.00",-0.51,-0.34,-0.17
Brandon Knight,2021-22,DAL,65,PG,-0.77,-0.31,-0.46,0.1,"194,576.00",-0.63,-0.23,-0.4
Cameron Oliver,2021-22,ATL,43,SF,-0.77,-0.36,-0.41,0,"130,312.00",-0.57,-0.38,-0.19
Deividas Sirvydis,2021-22,DET,27,SG,-0.77,-0.68,-0.09,0,"80,424.00",-0.45,-0.44,-0.01
KZ Okpala,2021-22,MIA,244,PF,-0.78,-1.38,0.6,0.3,"731,815.00",-1.33,-1.41,0.09
Louis King,2021-22,SAC,104,SF,-0.78,-0.38,-0.4,0.1,"309,843.00",-0.51,-0.33,-0.18
Matt Ryan,2021-22,BOS,5,SF,-0.79,-0.08,-0.71,0,"15,637.00",-0.82,-0.13,-0.69
Jaylen Morris,2021-22,SAS,16,SG,-0.8,-0.48,-0.32,0,"47,439.00",-0.87,-0.5,-0.37
David Johnson,2021-22,TOR,2,SG,-0.8,-0.44,-0.36,0,"5,859.00",-0.8,-0.44,-0.36
Kemba Walker,2021-22,NYK,948,PG,-0.81,-0.52,-0.29,1,"2,790,967.00",0.11,0.46,-0.35
Kelly Oubre Jr.,2021-22,CHO,"1,999",SF,-0.81,0.59,-1.39,2,"5,888,880.00",-0.43,0.84,-1.27
Tyrese Maxey,2021-22,PHI,"2,650",PG,-0.81,0.45,-1.25,2.7,"7,812,016.00",0.24,0.66,-0.41
Will Barton,2021-22,DEN,"2,277",SG,-0.82,-0.5,-0.33,2.3,"6,628,621.00",0.44,0.54,-0.1
T.J. McConnell,2021-22,IND,652,PG,-0.82,-0.44,-0.38,0.7,"1,908,020.00",-0.34,-0.26,-0.08
Precious Achiuwa,2021-22,TOR,"1,725",C,-0.82,-1.47,0.65,1.7,"5,024,030.00",-1.4,-1.52,0.12
Marcus Garrett,2021-22,MIA,128,SG,-0.82,-0.92,0.1,0.1,"374,458.00",-1.07,-1.17,0.1
Sam Dekker,2021-22,TOR,1,PF,-0.83,-0.45,-0.37,0,"2,616.00",-0.79,-0.43,-0.36
Joe Johnson,2021-22,BOS,2,SG,-0.85,-0.16,-0.69,0,"5,588.00",-0.82,-0.14,-0.68
CJ Miles,2021-22,BOS,2,SG,-0.85,-0.16,-0.69,0,"5,586.00",-0.82,-0.14,-0.68
Enes Freedom,2021-22,BOS,411,C,-0.85,-1.23,0.38,0.4,"1,177,980.00",-1.36,-1.45,0.09
Anthony Lamb,2021-22,SAS,8,SF,-0.86,-0.5,-0.36,0,"21,887.00",-0.82,-0.45,-0.37
Goran Dragic,2021-22,TOR/BRK,497,PG,-0.87,-0.65,-0.21,0.5,"1,410,109.00",-1.6,-1.03,-0.57
Brandon Goodwin,2021-22,CLE,502,PG,-0.87,-0.43,-0.45,0.5,"1,414,597.00",-0.89,-0.72,-0.18
RJ Barrett,2021-22,NYK,"2,417",SF,-0.87,0.26,-1.13,2.4,"6,836,090.00",-0.51,0.05,-0.57
Isaiah Roby,2021-22,OKC,948,PF,-0.87,-0.92,0.06,0.9,"2,688,456.00",-0.09,-0.74,0.65
David Duke Jr.,2021-22,BRK,341,PG,-0.87,-0.54,-0.33,0.3,"966,909.00",-1.51,-1.14,-0.37
George King,2021-22,DAL,19,SF,-0.89,-0.36,-0.53,0,"53,371.00",-0.59,-0.28,-0.31
Xavier Moon,2021-22,LAC,137,SG,-0.89,-0.27,-0.62,0.1,"382,760.00",-0.64,-0.4,-0.24
Cade Cunningham,2021-22,DET,"2,088",PG,-0.89,-0.66,-0.23,2,"5,827,215.00",-1.94,-1.34,-0.6
Miye Oni,2021-22,UTA,44,SG,-0.9,-0.25,-0.66,0,"122,113.00",-0.64,-0.14,-0.5
Romeo Langford,2021-22,BOS/SAS,771,SG,-0.91,-1.5,0.59,0.7,"2,120,737.00",-1.93,-1.81,-0.12
Jay Scrubb,2021-22,LAC,121,SG,-0.91,-0.68,-0.24,0.1,"332,959.00",-1.02,-0.71,-0.32
Brodric Thomas,2021-22,BOS,60,SG,-0.92,-0.2,-0.72,0.1,"163,141.00",-0.99,-0.32,-0.66
Jeff Dowtin,2021-22,GSW/MIL/ORL,108,PG,-0.92,-0.65,-0.27,0.1,"295,632.00",-0.47,-0.43,-0.04
Micah Potter,2021-22,DET,31,C,-0.92,-0.82,-0.1,0,"84,606.00",-0.56,-0.51,-0.05
Isaiah Thomas,2021-22,LAL/DAL/CHO,333,PG,-0.93,-0.14,-0.79,0.3,"901,778.00",-0.91,0.02,-0.93
Norvel Pelle,2021-22,UTA,19,C,-0.93,-0.27,-0.66,0,"51,426.00",-0.54,-0.04,-0.51
D.J. Wilson,2021-22,TOR,54,PF,-0.93,-0.73,-0.2,0.1,"146,386.00",-0.82,-0.67,-0.15
Victor Oladipo,2021-22,MIA,173,SG,-0.94,-0.42,-0.52,0.2,"465,785.00",-0.5,-0.07,-0.43
De'Aaron Fox,2021-22,SAC,"2,084",PG,-0.96,1.15,-2.11,1.9,"5,529,287.00",-0.62,0.57,-1.19
McKinley Wright IV,2021-22,MIN,19,PG,-0.96,-0.3,-0.66,0,"50,020.00",-0.88,-0.33,-0.55
Chaundee Brown Jr.,2021-22,LAL/ATL,104,SG-SF,-0.96,-0.69,-0.27,0.1,"274,813.00",-0.57,-0.43,-0.14
Gordon Hayward,2021-22,CHO,"1,564",SF,-0.97,-1,0.03,1.4,"4,130,275.00",-0.38,0.21,-0.6
Joe Ingles,2021-22,UTA,"1,122",SF,-0.97,-0.34,-0.63,1,"2,948,111.00",-0.61,-0.09,-0.52
Sharife Cooper,2021-22,ATL,39,PG,-0.98,-0.67,-0.31,0,"100,895.00",-0.61,-0.39,-0.22
Scottie Lewis,2021-22,CHO,7,SG,-0.98,-0.42,-0.56,0,"17,103.00",-1,-0.46,-0.54
Garrison Mathews,2021-22,HOU,"1,712",SG,-0.99,0.27,-1.25,1.5,"4,458,222.00",-1.55,-0.68,-0.86
Daniel Oturu,2021-22,TOR,27,C,-1.01,-0.69,-0.32,0,"69,734.00",-0.92,-0.62,-0.3
Jaden Springer,2021-22,PHI,6,SG,-1.01,-0.38,-0.63,0,"14,468.00",-1,-0.38,-0.62
Landry Shamet,2021-22,PHO,"1,437",SG,-1.02,-0.85,-0.17,1.3,"3,653,030.00",-1.31,-0.32,-0.99
Nassir Little,2021-22,POR,"1,088",SF,-1.02,-1.15,0.12,1,"2,762,772.00",-1.28,-1.13,-0.14
Kentavious Caldwell-Pope,2021-22,WAS,"2,329",SG,-1.03,-0.86,-0.16,2,"5,897,717.00",-0.95,-0.49,-0.47
Gabriel Lundberg,2021-22,PHO,44,SG,-1.03,-0.31,-0.72,0,"111,449.00",-1.2,-0.43,-0.78
Davon Reed,2021-22,DEN,668,SG,-1.04,-1.21,0.16,0.6,"1,666,872.00",-0.94,-1.26,0.32
DeAndre Jordan,2021-22,LAL/PHI,622,C,-1.05,-2.05,1,0.5,"1,547,155.00",-0.07,-1.44,1.37
Evan Fournier,2021-22,NYK,"2,358",SG,-1.05,-0.01,-1.04,2,"5,865,766.00",-0.45,-0.07,-0.38
Chris Duarte,2021-22,IND,"1,541",SG,-1.05,-0.55,-0.5,1.3,"3,842,178.00",-1.71,-0.53,-1.17
Paul Millsap,2021-22,BRK/PHI,376,PF,-1.06,-0.89,-0.17,0.3,"924,786.00",-0.64,-0.71,0.07
Patty Mills,2021-22,BRK,"2,346",PG,-1.06,0.46,-1.53,2,"5,773,414.00",-1.47,-0.06,-1.42
Santi Aldama,2021-22,MEM,360,PF,-1.06,-0.11,-0.95,0.3,"888,654.00",-1.67,-0.85,-0.82
Udonis Haslem,2021-22,MIA,83,C,-1.08,-1.03,-0.05,0.1,"201,536.00",-0.78,-0.77,-0.01
Justin Holiday,2021-22,IND/SAC,"2,057",SF-SG,-1.08,-0.94,-0.14,1.7,"4,982,104.00",-1.37,-0.6,-0.77
Troy Brown Jr.,2021-22,CHI,"1,055",SF,-1.08,-1.26,0.18,0.9,"2,565,678.00",-1.53,-1.5,-0.03
Taurean Prince,2021-22,MIN,"1,177",PF,-1.09,-0.76,-0.33,1,"2,827,970.00",-1.01,-0.81,-0.2
Daniel Theis,2021-22,HOU/BOS,977,C,-1.09,-2.01,0.92,0.8,"2,360,358.00",-0.8,-1.18,0.39
Udoka Azubuike,2021-22,UTA,195,C,-1.09,-1.49,0.4,0.2,"470,301.00",-1.09,-1.46,0.37
Kevin Knox II,2021-22,NYK/ATL,222,SF,-1.09,-0.34,-0.76,0.2,"535,279.00",-0.78,-0.4,-0.38
Vlatko Cancar,2021-22,DEN,176,PF,-1.1,-1.21,0.11,0.1,"422,064.00",-1.29,-1.09,-0.19
Juwan Morgan,2021-22,TOR/BOS,31,PF,-1.1,-0.6,-0.5,0,"73,899.00",-0.97,-0.58,-0.4
Tyler Johnson,2021-22,PHI/SAS,91,PG,-1.11,-0.63,-0.49,0.1,"216,269.00",-1.1,-0.66,-0.44
Theo Pinson,2021-22,DAL,148,SF,-1.11,-0.66,-0.45,0.1,"352,209.00",-0.76,-0.54,-0.22
Chris Silva,2021-22,MIN/MIA,91,PF,-1.11,-1.01,-0.09,0.1,"216,783.00",-0.74,-0.69,-0.05
Alize Johnson,2021-22,CHI/WAS/NOP,167,PF,-1.13,-0.56,-0.57,0.1,"389,846.00",-0.88,-0.69,-0.19
Carsen Edwards,2021-22,DET,79,SG,-1.13,-0.58,-0.55,0.1,"185,097.00",-0.69,-0.44,-0.24
Malik Fitts,2021-22,UTA/BOS,63,PF,-1.13,-0.34,-0.79,0.1,"146,972.00",-0.74,-0.18,-0.56
Josh Okogie,2021-22,MIN,516,SG,-1.14,-2.4,1.26,0.4,"1,196,463.00",-2.17,-2.19,0.02
Arnoldas Kulboka,2021-22,CHO,5,SF,-1.14,-0.5,-0.64,0,"12,265.00",-1,-0.45,-0.55
Saddiq Bey,2021-22,DET,"2,704",SF,-1.14,0.26,-1.4,2.2,"6,261,352.00",-1.64,-0.21,-1.43
Paris Bass,2021-22,PHO,7,SF,-1.15,-0.41,-0.74,0,"16,950.00",-1.18,-0.41,-0.77
Talen Horton-Tucker,2021-22,LAL,"1,511",SG,-1.15,-1.06,-0.09,1.2,"3,478,523.00",-1.65,-1.3,-0.35
Shaq Buchanan,2021-22,MEM,10,PG,-1.15,-0.44,-0.71,0,"22,590.00",-1.26,-0.54,-0.71
Aaron Henry,2021-22,PHI,17,SF,-1.15,-0.54,-0.61,0,"39,053.00",-1.09,-0.49,-0.61
Jock Landale,2021-22,SAS,589,C,-1.17,-0.13,-1.04,0.5,"1,326,733.00",-1.46,-0.29,-1.17
Frank Kaminsky,2021-22,PHO,181,C,-1.18,-1.28,0.1,0.1,"404,804.00",-1.07,-0.71,-0.36
Solomon Hill,2021-22,ATL,139,PF,-1.19,-1.51,0.32,0.1,"309,810.00",-1.12,-1.15,0.03
Quentin Grimes,2021-22,NYK,786,SG,-1.19,-1.21,0.02,0.6,"1,745,130.00",-1.2,-0.87,-0.33
Jahmi'us Ramsey,2021-22,SAC,134,SG,-1.19,-0.54,-0.65,0.1,"296,635.00",-1.21,-0.73,-0.48
Luka Garza,2021-22,DET,389,C,-1.19,-0.04,-1.15,0.3,"862,146.00",-1.36,-0.06,-1.3
MJ Walker,2021-22,PHO,8,SG,-1.19,-0.41,-0.78,0,"18,602.00",-1.19,-0.43,-0.76
Malcolm Hill,2021-22,ATL/CHI,212,SF-SG,-1.2,-0.93,-0.28,0.2,"465,537.00",-1.03,-0.77,-0.26
Ed Davis,2021-22,CLE,201,C,-1.21,-2.3,1.09,0.2,"437,950.00",-1.2,-2.24,1.04
Tyrell Terry,2021-22,MEM,3,PG,-1.21,-0.48,-0.73,0,"6,659.00",-1.24,-0.53,-0.71
Justin Jackson,2021-22,BOS/PHO,36,SF,-1.22,-0.62,-0.6,0,"79,001.00",-1.26,-0.48,-0.78
Daishen Nix,2021-22,HOU,261,SG,-1.22,-0.96,-0.26,0.2,"563,905.00",-1.2,-1.01,-0.2
Trevor Ariza,2021-22,LAL,462,SF,-1.23,-1.14,-0.09,0.3,"995,584.00",-1.13,-1.43,0.29
Rodney McGruder,2021-22,DET,754,SG,-1.23,-0.91,-0.32,0.6,"1,623,462.00",-2.11,-1.28,-0.83
Hamidou Diallo,2021-22,DET,"1,269",SG,-1.23,-1.81,0.59,0.9,"2,732,753.00",-0.99,-1.22,0.23
Jaden McDaniels,2021-22,MIN,"1,803",PF,-1.23,-2.06,0.83,1.3,"3,859,546.00",-1.74,-1.79,0.04
Sam Hauser,2021-22,BOS,158,SF,-1.23,-0.49,-0.74,0.1,"338,005.00",-1.23,-0.43,-0.79
Isaac Bonga,2021-22,TOR,69,SF,-1.24,-0.98,-0.26,0.1,"145,831.00",-1.13,-0.91,-0.22
DaQuan Jeffries,2021-22,MEM,9,SG,-1.24,-0.52,-0.72,0,"18,689.00",-1.26,-0.56,-0.7
Payton Pritchard,2021-22,BOS,"1,001",SG,-1.24,-0.05,-1.2,0.7,"2,120,033.00",-0.31,0.78,-1.09
Zavier Simpson,2021-22,OKC,174,PG,-1.24,-1.21,-0.03,0.1,"369,047.00",-0.5,-1.05,0.55
Sam Merrill,2021-22,MEM,58,SG,-1.25,-0.5,-0.75,0,"121,892.00",-1.38,-0.52,-0.85
Khem Birch,2021-22,TOR,991,C,-1.26,-0.84,-0.42,0.7,"2,061,965.00",-1.41,-1.55,0.14
Corey Kispert,2021-22,WAS,"1,801",SF,-1.26,0.28,-1.55,1.3,"3,745,452.00",-2.16,-1.06,-1.1
Alex Len,2021-22,SAC,620,C,-1.27,-1.99,0.72,0.4,"1,281,501.00",-1.42,-1.94,0.52
Jonathan Kuminga,2021-22,GSW,"1,185",SF,-1.28,-0.49,-0.79,0.8,"2,440,951.00",-0.06,-0.08,0.02
Jon Teske,2021-22,MEM,8,C,-1.28,-0.55,-0.73,0,"15,876.00",-1.25,-0.56,-0.7
Jalen Suggs,2021-22,ORL,"1,307",PG,-1.28,-2.2,0.91,0.9,"2,671,893.00",-1.62,-1.77,0.15
Eric Bledsoe,2021-22,LAC,"1,361",PG,-1.29,-1.48,0.19,0.9,"2,754,778.00",-0.63,-0.86,0.23
Stanley Johnson,2021-22,LAL,"1,094",PF,-1.3,-0.64,-0.66,0.8,"2,203,038.00",-1.45,-1.65,0.2
Luguentz Dort,2021-22,OKC,"1,665",SF,-1.31,-1.2,-0.11,1.1,"3,308,465.00",-1.53,-0.86,-0.66
Olivier Sarr,2021-22,OKC,421,C,-1.31,-2.19,0.87,0.3,"836,383.00",-1.98,-2.25,0.28
Chandler Hutchison,2021-22,PHO,22,SF,-1.33,-0.6,-0.72,0,"43,928.00",-1.31,-0.59,-0.72
Nickeil Alexander-Walker,2021-22,NOP/UTA,"1,466",SG,-1.33,-0.73,-0.6,1,"2,869,174.00",-1.32,-0.41,-0.91
P.J. Dozier,2021-22,DEN,340,SG,-1.34,-1.45,0.11,0.2,"659,316.00",-1.12,-1.09,-0.03
Ryan Arcidiacono,2021-22,NYK,76,PG,-1.35,-1.09,-0.26,0.1,"146,046.00",-1.02,-0.83,-0.19
Danny Green,2021-22,PHI,"1,353",SF,-1.37,-2.14,0.77,0.9,"2,539,483.00",-1.34,-1.68,0.34
Danuel House Jr.,2021-22,HOU/NYK/UTA,727,SF,-1.37,-1.13,-0.24,0.5,"1,371,967.00",-0.6,-0.66,0.06
Dakota Mathias,2021-22,MEM,16,SG,-1.37,-0.63,-0.74,0,"30,595.00",-1.27,-0.55,-0.72
Malachi Flynn,2021-22,TOR,537,PG,-1.38,-0.31,-1.07,0.3,"996,404.00",-1,-0.52,-0.48
Jabari Parker,2021-22,BOS,112,PF,-1.39,-0.65,-0.74,0.1,"208,208.00",-1.23,-0.63,-0.59
Wes Iwundu,2021-22,ATL,82,SF,-1.4,-0.88,-0.52,0.1,"149,649.00",-1.06,-0.88,-0.18
Taj Gibson,2021-22,NYK,946,C,-1.41,-2.39,0.98,0.6,"1,705,988.00",-1.42,-2.47,1.05
Marquese Chriss,2021-22,DAL,346,PF,-1.41,-1.78,0.37,0.2,"625,084.00",-0.25,-0.97,0.71
Dalano Banton,2021-22,TOR,696,SF,-1.41,-1.62,0.21,0.4,"1,251,534.00",-1.9,-1.86,-0.04
Jamorko Pickett,2021-22,DET,176,PF,-1.41,-1.06,-0.35,0.1,"318,399.00",-1.28,-1.31,0.03
Trent Forrest,2021-22,UTA,765,PG,-1.42,-1.01,-0.41,0.5,"1,364,958.00",-1.39,-1.26,-0.12
Drew Eubanks,2021-22,SAS/POR,"1,245",C,-1.43,-1.34,-0.09,0.8,"2,201,258.00",-0.49,-0.82,0.33
