PLAYER,Team(s),Pos,MP,Off,Def,Tot,WAR
Isaiah Roby'21-'22,Thunder,PF,948,-0.9,-1.3,-2.2,0.3
Alperen Sengun'21-'22,Rockets,C,"1,489",-1,-1.3,-2.3,0.3
Terry Taylor'21-'22,Pacers,"SG, SF",714,1.2,-3.1,-1.9,0.3
Ryan Arcidiacono'21-'22,Knicks,PG,76,-4.2,5.8,1.5,0.2
Charles Bassey'21-'22,76ers,C,180,-2.4,1.5,-0.9,0.2
Goga Bitadze'21-'22,Pacers,C,729,0.5,-2.6,-2.2,0.2
Bismack Biyombo'21-'22,Suns,C,592,-2,0,-2,0.2
Charlie Brown Jr.'21-'22,76ers,"PG, SG",177,-4.4,4,-0.4,0.2
Jared Butler'21-'22,Jazz,PG,365,-1.9,0.1,-1.8,0.2
Sekou Doumbouya'21-'22,Lakers,PF,16,3.8,22.7,26.5,0.2
Wayne Ellington'21-'22,Lakers,"SG, SF",810,-1.3,-0.9,-2.2,0.2
Brandon Goodwin'21-'22,Cavaliers,PG,502,-1.6,-0.1,-1.8,0.2
Hassani Gravett'21-'22,Magic,PG,171,-0.4,-0.1,-0.5,0.2
JaMychal Green'21-'22,Nuggets,PF,"1,154",-2.2,-0.3,-2.5,0.2
Jaxson Hayes'21-'22,Pelicans,C,"1,481",-1.2,-1.3,-2.5,0.2
Malcolm Hill'21-'22,Bulls,SF,212,-0.1,-1,-1.1,0.2
James Johnson'21-'22,Nets,PF,"1,191",-1.8,-0.7,-2.5,0.2
Jock Landale'21-'22,Spurs,C,589,-0.6,-1.5,-2.1,0.2
Isaiah Livers'21-'22,Pistons,PF,383,-0.6,-1.2,-1.8,0.2
Xavier Moon'21-'22,Clippers,SG,137,0.8,-0.8,0,0.2
Chuma Okeke'21-'22,Magic,PF,"1,749",-3.6,1.1,-2.5,0.2
Trevelin Queen'21-'22,Rockets,SG,74,2.7,-1.4,1.2,0.2
Rajon Rondo'21-'22,Cavaliers,PG,697,-3.3,1,-2.3,0.2
Dennis Smith Jr.'21-'22,Trail Blazers,PG,638,-2.5,0.3,-2.1,0.2
Derrick Walton Jr.'21-'22,Pistons,PG,108,-6.2,7.7,1.6,0.2
Udoka Azubuike'21-'22,Jazz,C,195,-4.8,3.5,-1.3,0.1
Dalano Banton'21-'22,Raptors,PG,704,-2.7,0.2,-2.5,0.1
Jevon Carter'21-'22,Bucks,"PG, SG","1,031",-1.6,-0.9,-2.5,0.1
Devon Dotson'21-'22,Bulls,PG,85,0.3,-1.5,-1.2,0.1
Tacko Fall'21-'22,Cavaliers,C,59,-3.5,4.2,0.7,0.1
Bruno Fernando'21-'22,Rockets,C,152,-2.9,1.8,-1.2,0.1
Wenyen Gabriel'21-'22,Lakers,PF,358,1,-2.9,-2,0.1
Usman Garuba'21-'22,Rockets,PF,239,-1.2,-0.9,-2.1,0.1
Eric Gordon'21-'22,Rockets,"SG, SF","1,669",0,-2.7,-2.6,0.1
Jay Huff'21-'22,Lakers,C,20,-13.2,23.6,10.4,0.1
BJ Johnson'21-'22,Magic,SF,65,-0.5,-0.5,-1.1,0.1
Damian Jones'21-'22,Kings,C,"1,017",-1,-1.5,-2.5,0.1
Gabriel Lundberg'21-'22,Suns,SG,44,0.7,1.2,1.8,0.1
Cameron McGriff'21-'22,Trail Blazers,SF,46,6.2,-3.9,2.3,0.1
Abdel Nader'21-'22,Suns,SF,145,-7.6,5.7,-1.8,0.1
Malik Newman'21-'22,Cavaliers,PG,8,5.3,5.4,10.7,0.1
Zeke Nnaji'21-'22,Nuggets,PF,707,-0.8,-1.5,-2.3,0.1
Theo Pinson'21-'22,Mavericks,"SG, SF",148,-2.6,0.9,-1.7,0.1
Marko Simonovic'21-'22,Bulls,C,35,-4.9,6.5,1.6,0.1
Lamar Stevens'21-'22,Cavaliers,PF,"1,015",-2.6,0,-2.6,0.1
Craig Sword'21-'22,Wizards,SG,19,-0.1,8.5,8.4,0.1
Daniel Theis'21-'22,Celtics,C,"1,177",-3.4,0.7,-2.7,0.1
Isaiah Thomas'21-'22,Hornets,PG,333,-0.4,-1.7,-2,0.1
Killian Tillie'21-'22,Grizzlies,"PF, C",461,-3.3,0.8,-2.5,0.1
Rayjon Tucker'21-'22,Bucks,SG,90,1.3,-2.8,-1.5,0.1
Denzel Valentine'21-'22,Jazz,SG,222,-2.6,0.9,-1.7,0.1
Lou Williams'21-'22,Hawks,"PG, SG",799,-1.3,-1.1,-2.4,0.1
D.J. Wilson'21-'22,Raptors,PF,54,1.4,-0.8,0.7,0.1
Gabe York'21-'22,Pacers,SG,21,0.8,2.3,3.1,0.1
Joel Ayayi'21-'22,Wizards,SG,20,-7.6,4.3,-3.3,0
Paris Bass'21-'22,Suns,SF,7,3.2,-5.3,-2,0
Jordan Bell'21-'22,Bulls,C,2,28.7,-34.7,-6,0
Isaac Bonga'21-'22,Raptors,"PG, SG, SF",72,-4.5,3,-1.5,0
Armoni Brooks'21-'22,Raptors,"PG, SG",852,-0.8,-2,-2.8,0
Shaq Buchanan'21-'22,Grizzlies,PG,10,-5.1,-1.7,-6.8,0
Trey Burke'21-'22,Mavericks,PG,478,-2.2,-0.5,-2.7,0
Vlatko Cancar'21-'22,Nuggets,SF,185,-3,-0.1,-3.1,0
Ahmad Caver'21-'22,Pacers,PG,1,6.6,7.7,14.3,0
Jarron Cumberland'21-'22,Trail Blazers,SG,12,3.7,-9.4,-5.7,0
Ed Davis'21-'22,Cavaliers,C,201,-4.3,1.3,-3,0
Javin DeLaurier'21-'22,Bucks,C,3,11.9,2.8,14.8,0
Sam Dekker'21-'22,Raptors,PF,1,-31.6,-35.8,-67.4,0
Mamadi Diakite'21-'22,Thunder,PF,188,-4.9,1.9,-3,0
Damyean Dotson'21-'22,Knicks,SG,21,-0.1,-6.9,-7.1,0
Jaime Echenique'21-'22,Wizards,C,3,-12.9,10.8,-2.1,0
Rob Edwards'21-'22,Thunder,SG,11,-8.3,3.9,-4.4,0
James Ennis III'21-'22,Nuggets,SF,56,-0.2,-2.2,-2.3,0
Malik Fitts'21-'22,Celtics,"SF, PF",79,-1.8,-1.8,-3.6,0
Luka Garza'21-'22,Pistons,C,389,-0.4,-2.6,-3,0
Freddie Gillespie'21-'22,Magic,PF,119,-6.2,2.7,-3.5,0
Kyle Guy'21-'22,Heat,SG,186,-2.7,-0.4,-3.1,0
Tyler Hall'21-'22,Knicks,SG,2,-12.5,-12.7,-25.2,0
Shaquille Harrison'21-'22,Nets,SG,23,-5.6,4.3,-1.3,0
Nate Hinton'21-'22,Pacers,SG,2,-13.4,9.3,-4.1,0
Scotty Hopson'21-'22,Thunder,SG,18,-8.2,2.7,-5.5,0
Feron Hunt'21-'22,Knicks,SF,8,-7.5,6.7,-0.8,0
Justin Jackson'21-'22,Suns,SF,37,-5.2,1.5,-3.8,0
DeJon Jarreau'21-'22,Pacers,SG,1,9.3,6.3,15.6,0
DaQuan Jeffries'21-'22,Grizzlies,SG,9,-1.5,2.1,0.6,0
David Johnson'21-'22,Raptors,PG,2,-4.6,11.3,6.8,0
Joe Johnson'21-'22,Celtics,SG,2,5.4,-24.3,-18.9,0
Tyler Johnson'21-'22,Spurs,PG,91,-3.3,0.3,-3,0
Mason Jones'21-'22,Lakers,SG,51,1.7,-3.9,-2.1,0
Louis King'21-'22,Kings,SF,104,-1.4,-0.4,-1.8,0
Brandon Knight'21-'22,Mavericks,PG,65,-1.5,-0.1,-1.6,0
Anthony Lamb'21-'22,Rockets,"SF, PF",8,-6.8,4.3,-2.5,0
Scottie Lewis'21-'22,Hornets,SG,7,2.8,-0.3,2.4,0
Dakota Mathias'21-'22,Grizzlies,SG,16,-5.4,-3.3,-8.7,0
JaQuori McLaughlin'21-'22,Mavericks,PG,11,-2.8,-5.7,-8.6,0
Sam Merrill'21-'22,Grizzlies,SG,58,-2.4,-0.9,-3.3,0
Matt Mooney'21-'22,Knicks,SG,2,-36.6,11.8,-24.8,0
Jaylen Morris'21-'22,Spurs,SG,16,-11.1,3.6,-7.5,0
Emmanuel Mudiay'21-'22,Kings,PG,11,-5.8,2.2,-3.7,0
Ade Murkey'21-'22,Kings,SG,1,-20.7,-3.6,-24.2,0
Cameron Oliver'21-'22,Hawks,SF,43,2.4,-5,-2.6,0
Eugene Omoruyi'21-'22,Mavericks,SF,18,-0.9,-3.6,-4.5,0
Eric Paschall'21-'22,Jazz,"PF, C",760,0.2,-2.9,-2.7,0
Neemias Queta'21-'22,Kings,C,120,-2.6,0.4,-2.2,0
Matt Ryan'21-'22,Celtics,"SF, PF",5,-7.8,2.8,-5,0
Jordan Schakel'21-'22,Wizards,SG,30,-9.6,8.8,-0.9,0
Trevon Scott'21-'22,Cavaliers,SF,11,-6,8.1,2.1,0
Collin Sexton'21-'22,Cavaliers,"PG, SG",316,-2.9,-0.1,-3,0
Deividas Sirvydis'21-'22,Pistons,SG,27,-11.9,10.7,-1.1,0
Jaden Springer'21-'22,76ers,PG,19,-1.1,-5.2,-6.3,0
Cassius Stanley'21-'22,Pistons,SG,155,-2.8,0.3,-2.5,0
Nik Stauskas'21-'22,Celtics,SG,63,-0.6,-0.9,-1.5,0
Tyrell Terry'21-'22,Grizzlies,PG,3,7.6,-23.1,-15.5,0
Brodric Thomas'21-'22,Celtics,SG,60,0.8,-3.5,-2.6,0
Luca Vildoza'21-'22,Bucks,PG,17,-4.6,3.6,-1,0
MJ Walker'21-'22,Suns,SG,8,-3.4,11.6,8.2,0
Duane Washington Jr.'21-'22,Pacers,PG,968,-1,-1.9,-2.8,0
Quinndary Weatherspoon'21-'22,Warriors,SG,73,0.2,-4.2,-4,0
Robert Woodard II'21-'22,Spurs,SF,42,-4.9,1.7,-3.2,0
Moses Wright'21-'22,Mavericks,PF,14,-0.2,-2.8,-3,0
Cat Barber'21-'22,Hawks,PG,13,-12.2,1.5,-10.7,-0.1
Bol Bol'21-'22,Magic,"PF, C",81,-5,-0.4,-5.4,-0.1
Leandro Bolmaro'21-'22,Timberwolves,SG,241,-5.4,1.7,-3.6,-0.1
Chaundee Brown Jr.'21-'22,Hawks,SG,104,-4.9,-0.2,-5.1,-0.1
Vernon Carey Jr.'21-'22,Wizards,C,44,-5.7,0,-5.8,-0.1
Zylan Cheatham'21-'22,Jazz,SF,5,-34.6,-5.8,-40.4,-0.1
Zach Collins'21-'22,Spurs,"PF, C",502,-3.3,0,-3.3,-0.1
Petr Cornelie'21-'22,Nuggets,PF,38,-6.6,-0.7,-7.3,-0.1
Jarrett Culver'21-'22,Grizzlies,"PG, SG, SF",360,-3.3,-0.1,-3.4,-0.1
Gabriel Deck'21-'22,Thunder,PF,56,-2.5,-3,-5.5,-0.1
David Duke Jr.'21-'22,Nets,PG,341,-1.6,-1.6,-3.2,-0.1
Carsen Edwards'21-'22,Pistons,SG,79,-1.9,-3,-4.9,-0.1
Langston Galloway'21-'22,Bucks,SG,107,-7.7,2.6,-5.1,-0.1
Jordan Goodwin'21-'22,Wizards,SG,6,-34.9,-6.1,-41,-0.1
Richaun Holmes'21-'22,Kings,"PF, C","1,074",-1.8,-1.2,-2.9,-0.1
Josh Jackson'21-'22,Kings,"SG, SF",830,-2.3,-0.7,-3.1,-0.1
Carlik Jones'21-'22,Nuggets,PG,23,-13,4.7,-8.4,-0.1
Jemerrio Jones'21-'22,Lakers,SF,15,-0.5,-9.9,-10.5,-0.1
Arnoldas Kulboka'21-'22,Hornets,SF,5,-12.9,-28.7,-41.6,-0.1
Jake Layman'21-'22,Timberwolves,SF,231,-3.6,0.1,-3.5,-0.1
Timothe Luwawu-Cabarrot'21-'22,Hawks,"SG, SF",707,-2.2,-1,-3.1,-0.1
Boban Marjanovic'21-'22,Mavericks,C,134,-4.2,0.1,-4.1,-0.1
Kelan Martin'21-'22,Celtics,SF,450,-2.7,-0.4,-3,-0.1
Mac McClung'21-'22,Lakers,SG,25,-4.8,-4.7,-9.5,-0.1
CJ Miles'21-'22,Celtics,SG,2,-8.3,-57,-65.3,-0.1
Markieff Morris'21-'22,Heat,PF,301,-1.4,-1.8,-3.2,-0.1
RJ Nembhard Jr.'21-'22,Cavaliers,SG,63,-9,3.6,-5.5,-0.1
Nerlens Noel'21-'22,Knicks,C,562,-3,0,-3,-0.1
Daniel Oturu'21-'22,Raptors,C,27,-3.6,-5.7,-9.4,-0.1
Jaysean Paige'21-'22,Pistons,PG,7,-28.8,-6.3,-35.1,-0.1
Aleksej Pokusevski'21-'22,Thunder,PF,"1,233",-2.9,0,-2.9,-0.1
Yves Pons'21-'22,Grizzlies,SF,71,-5.8,-1,-6.8,-0.1
Micah Potter'21-'22,Pistons,C,31,-9.9,-2.1,-12,-0.1
Austin Rivers'21-'22,Nuggets,"PG, SG","1,588",-1.8,-1.1,-2.9,-0.1
Dennis Schroder'21-'22,Rockets,"PG, SG","1,837",-2,-0.9,-2.9,-0.1
Jay Scrubb'21-'22,Clippers,"SG, SF",121,-4.6,0.3,-4.3,-0.1
Wayne Selden'21-'22,Knicks,SG,19,-7.7,-8.1,-15.8,-0.1
Javonte Smart'21-'22,Heat,PG,200,-3.8,-0.3,-4.2,-0.1
Xavier Sneed'21-'22,Jazz,SF,39,-6.7,-2.4,-9.1,-0.1
Emanuel Terry'21-'22,Suns,PF,18,-16.4,6.7,-9.7,-0.1
Jon Teske'21-'22,Grizzlies,C,8,-13.2,-5.4,-18.6,-0.1
Cassius Winston'21-'22,Wizards,PG,39,-2.6,-3.6,-6.2,-0.1
McKinley Wright IV'21-'22,Timberwolves,PG,19,-1.3,-8.5,-9.8,-0.1
Cody Zeller'21-'22,Trail Blazers,C,355,-0.2,-3.2,-3.4,-0.1
Nickeil Alexander-Walker'21-'22,Jazz,SG,"1,471",-1.8,-1.2,-3,-0.2
Brandon Boston Jr.'21-'22,Clippers,SG,760,-2.5,-0.8,-3.3,-0.2
Devin Cannady'21-'22,Magic,PG,145,0.7,-5.7,-5.1,-0.2
Cheick Diallo'21-'22,Pistons,C,31,-8,-5.1,-13.1,-0.2
Marcus Garrett'21-'22,Heat,SG,128,-2.6,-3.8,-6.5,-0.2
Maurice Harkless'21-'22,Kings,SF,863,-3.3,0,-3.3,-0.2
Aaron Henry'21-'22,76ers,SF,17,-15.3,-5,-20.3,-0.2
Chandler Hutchison'21-'22,Suns,SF,22,-8.6,-7.7,-16.3,-0.2
Wes Iwundu'21-'22,Hawks,SF,82,-2,-5.5,-7.5,-0.2
George King'21-'22,Mavericks,SF,19,-14.3,-6.9,-21.2,-0.2
Kira Lewis Jr.'21-'22,Pelicans,PG,341,-3.6,-0.4,-4.1,-0.2
Kenyon Martin Jr.'21-'22,Rockets,"SF, PF","1,656",-0.2,-2.8,-3,-0.2
Skylar Mays'21-'22,Hawks,"PG, SG",229,-1.6,-3,-4.6,-0.2
Miye Oni'21-'22,Jazz,SG,44,-4.4,-9,-13.4,-0.2
Jabari Parker'21-'22,Celtics,PF,112,-3,-2.8,-5.8,-0.2
Myles Powell'21-'22,76ers,SG,52,-6.5,-2.9,-9.4,-0.2
Chris Silva'21-'22,Heat,PF,91,-3,-3.2,-6.2,-0.2
JT Thor'21-'22,Hornets,PF,262,-3,-1.4,-4.4,-0.2
Isaiah Todd'21-'22,Wizards,PF,74,-8.8,-0.1,-9,-0.2
Tyrone Wallace'21-'22,Pelicans,SG,75,-5.8,-1.8,-7.6,-0.2
Thanasis Antetokounmpo'21-'22,Bucks,SF,493,-3.1,-0.7,-3.8,-0.3
Darren Collison'21-'22,Lakers,PG,37,-8,-9.5,-17.5,-0.3
Tyler Cook'21-'22,Bulls,"PF, C",200,-4.4,-1.1,-5.4,-0.3
Jeff Dowtin'21-'22,Magic,PG,108,-6.1,-1.8,-8,-0.3
Aleem Ford'21-'22,Magic,SF,74,-7.3,-2.5,-9.8,-0.3
Tim Frazier'21-'22,Cavaliers,PG,208,-5.9,0.8,-5.1,-0.3
Rodney Hood'21-'22,Clippers,"SG, SF",709,-2.5,-1.1,-3.5,-0.3
Kai Jones'21-'22,Hornets,PF,63,-7.6,-4.2,-11.8,-0.3
Chimezie Metu'21-'22,Kings,"PF, C","1,279",-3.3,0.1,-3.3,-0.3
Juwan Morgan'21-'22,Celtics,"PF, C",46,-2.7,-12.5,-15.3,-0.3
Trayvon Palmer'21-'22,Pistons,SG,17,-7.6,-32,-39.6,-0.3
Kevin Pangos'21-'22,Cavaliers,PG,166,-4.7,-2.2,-6.9,-0.3
Norvel Pelle'21-'22,Jazz,C,19,-17.1,-15.7,-32.8,-0.3
Justin Robinson'21-'22,Pistons,PG,304,-6.2,1.2,-5,-0.3
Jeremiah Robinson-Earl'21-'22,Thunder,PF,"1,087",-3.9,0.7,-3.2,-0.3
Admiral Schofield'21-'22,Magic,SF,469,-3,-1.1,-4.2,-0.3
Tremont Waters'21-'22,Wizards,PG,50,-6.3,-6.8,-13.1,-0.3
Joe Wieskamp'21-'22,Spurs,SF,205,-2.6,-2.7,-5.3,-0.3
Santi Aldama'21-'22,Grizzlies,PF,360,-2.8,-1.9,-4.7,-0.4
Justin Anderson'21-'22,Pacers,SF,316,-0.1,-4.8,-4.9,-0.4
Trevor Ariza'21-'22,Lakers,"SF, PF",462,-4,-0.5,-4.5,-0.4
Moses Brown'21-'22,Cavaliers,C,345,-4.2,-0.9,-5.1,-0.4
Sharife Cooper'21-'22,Hawks,PG,39,-18.4,-4.9,-23.3,-0.4
Joe Harris'21-'22,Nets,"SG, SF",423,-2.9,-1.8,-4.7,-0.4
Justin Holiday'21-'22,Kings,"SG, SF","2,057",-1.2,-1.9,-3.1,-0.4
Jalen Johnson'21-'22,Hawks,SF,129,-7.5,-1.7,-9.2,-0.4
Didi Louzada'21-'22,Trail Blazers,SG,129,-7.1,-2.4,-9.5,-0.4
KZ Okpala'21-'22,Heat,PF,244,-2.6,-3.3,-6,-0.4
Jamorko Pickett'21-'22,Pistons,"SG, SF",176,-3.8,-3.5,-7.3,-0.4
Jahmi'us Ramsey'21-'22,Kings,SG,134,-1.2,-7.3,-8.6,-0.4
Cam Reddish'21-'22,Knicks,SF,"1,012",-2.7,-0.7,-3.5,-0.4
Nick Richards'21-'22,Hornets,"PF, C",367,-4.1,-0.6,-4.7,-0.4
Tony Snell'21-'22,Pelicans,"SG, SF",823,-2.3,-1.3,-3.6,-0.4
Lonnie Walker IV'21-'22,Spurs,"SG, SF","1,612",-1.4,-1.8,-3.2,-0.4
Brad Wanamaker'21-'22,Wizards,PG,320,-3.2,-2.1,-5.3,-0.4
Lindell Wigginton'21-'22,Bucks,PG,199,-3.1,-3.4,-6.5,-0.4
Patrick Williams'21-'22,Bulls,"SG, SF",575,-1.7,-2.5,-4.2,-0.4
Ignas Brazdeikis'21-'22,Magic,"SF, PF",536,-1.6,-3,-4.6,-0.5
Willie Cauley-Stein'21-'22,76ers,C,183,-4.6,-3.3,-7.9,-0.5
Rui Hachimura'21-'22,Wizards,PF,943,-0.9,-3,-3.9,-0.5
Jaylen Hoard'21-'22,Thunder,SF,240,-1.7,-5.2,-6.8,-0.5
Alize Johnson'21-'22,Pelicans,PF,167,-2.8,-6.2,-8.9,-0.5
Kevin Knox II'21-'22,Hawks,"SF, PF",231,-1.8,-5.7,-7.4,-0.5
Svi Mykhailiuk'21-'22,Raptors,"SG, SF",721,-2.9,-1.3,-4.3,-0.5
Daishen Nix'21-'22,Rockets,PG,261,-3.2,-3.2,-6.5,-0.5
Reggie Perry'21-'22,Trail Blazers,PF,187,-4.6,-3.4,-8,-0.5
Garrett Temple'21-'22,Pelicans,"SG, SF","1,100",-3,-0.6,-3.6,-0.5
Yuta Watanabe'21-'22,Raptors,SF,455,-3.2,-1.9,-5.1,-0.5
Aaron Wiggins'21-'22,Thunder,SG,"1,209",-1.8,-1.7,-3.5,-0.5
Kessler Edwards'21-'22,Nets,SF,994,-2,-1.9,-3.9,-0.6
Bryn Forbes'21-'22,Nuggets,SG,"1,362",-0.1,-3.5,-3.6,-0.6
Jeff Green'21-'22,Nuggets,PF,"1,962",-1.5,-1.9,-3.4,-0.6
Udonis Haslem'21-'22,Heat,"PF, C",83,-8.4,-8.6,-17.1,-0.6
Haywood Highsmith'21-'22,Heat,SF,194,-4.2,-4.3,-8.6,-0.6
Robin Lopez'21-'22,Magic,C,612,-2.6,-2.2,-4.8,-0.6
Tre Mann'21-'22,Thunder,PG,"1,367",-2.2,-1.4,-3.7,-0.6
Moses Moody'21-'22,Warriors,SG,712,-2.6,-1.7,-4.3,-0.6
Elfrid Payton'21-'22,Suns,PG,557,-5.3,0.5,-4.8,-0.6
Olivier Sarr'21-'22,Thunder,C,421,-3.4,-2.3,-5.8,-0.6
Zavier Simpson'21-'22,Thunder,PG,174,-6.7,-2.8,-9.5,-0.6
Brandon Williams'21-'22,Trail Blazers,PG,640,-2.8,-1.8,-4.6,-0.6
James Bouknight'21-'22,Hornets,SG,304,-2.4,-5,-7.4,-0.7
Avery Bradley'21-'22,Lakers,"PG, SG","1,406",-2.8,-1,-3.8,-0.7
Chris Chiozza'21-'22,Warriors,PG,372,-4.6,-1.6,-6.2,-0.7
Frank Jackson'21-'22,Pistons,"PG, SG","1,164",-1.5,-2.4,-3.9,-0.7
Theo Maledon'21-'22,Thunder,PG,908,-3,-1.2,-4.2,-0.7
Julius Randle'21-'22,Knicks,PF,"2,544",-2.3,-1,-3.3,-0.7
Paul Watson'21-'22,Thunder,SF,156,-5.2,-6.3,-11.5,-0.7
Russell Westbrook'21-'22,Lakers,"PG, SG","2,678",-1.2,-2.1,-3.2,-0.7
Marquese Chriss'21-'22,Mavericks,C,376,-3.7,-3.1,-6.8,-0.8
Serge Ibaka'21-'22,Bucks,"PF, C",899,-4,-0.5,-4.5,-0.8
Alex Len'21-'22,Kings,C,620,-4.1,-1.3,-5.4,-0.8
Mychal Mulder'21-'22,Heat,"PG, SG",239,-6.1,-3,-9.1,-0.8
Tomas Satoransky'21-'22,Wizards,"SG, SF",906,-2.7,-1.7,-4.4,-0.8
Ish Smith'21-'22,Wizards,PG,"1,126",-2.2,-2,-4.2,-0.8
Oshae Brissett'21-'22,Pacers,"SF, PF","1,564",-1.1,-2.8,-3.9,-0.9
Thomas Bryant'21-'22,Wizards,C,439,-2.8,-3.8,-6.6,-0.9
Josh Christopher'21-'22,Rockets,SG,"1,334",-1.3,-2.7,-4.1,-0.9
Ayo Dosunmu'21-'22,Bulls,SG,"2,196",-1.6,-1.9,-3.6,-0.9
Drew Eubanks'21-'22,Trail Blazers,"PF, C","1,245",-2.5,-1.6,-4.1,-0.9
Alfonzo McKinnie'21-'22,Bulls,SF,206,-3.5,-8,-11.5,-0.9
Marcus Morris Sr.'21-'22,Clippers,"PF, C","1,564",-0.1,-3.8,-3.9,-0.9
Joshua Primo'21-'22,Spurs,SG,965,-3.7,-0.8,-4.5,-0.9
Cam Thomas'21-'22,Nets,SG,"1,176",-1.7,-2.5,-4.2,-0.9
Melvin Frazier Jr.'21-'22,Thunder,SF,120,-10.1,-9.6,-19.7,-1
Keifer Sykes'21-'22,Pacers,SG,566,-5.2,-1,-6.2,-1
Killian Hayes'21-'22,Pistons,"PG, SG","1,647",-3.7,-0.4,-4.1,-1.1
DeAndre Jordan'21-'22,76ers,C,653,-3.8,-2.1,-5.9,-1.1
Georgios Kalaitzakis'21-'22,Thunder,SF,214,-6,-6.9,-12.9,-1.1
Vit Krejci'21-'22,Thunder,PG,690,-2.9,-3,-5.9,-1.1
Doug McDermott'21-'22,Spurs,"SF, PF","1,223",-0.1,-4.5,-4.6,-1.2
Jonathan Kuminga'21-'22,Warriors,PF,"1,323",-2.7,-2,-4.7,-1.3
Sandro Mamukelashvili'21-'22,Bucks,C,407,-1.7,-7.2,-8.8,-1.3
Lance Stephenson'21-'22,Pacers,SF,814,-0.6,-5.3,-5.9,-1.3
Ben McLemore'21-'22,Trail Blazers,"PG, SG","1,285",-1.6,-3.3,-4.9,-1.4
Semi Ojeleye'21-'22,Clippers,PF,406,-5.4,-4.5,-9.9,-1.5
Darius Bazley'21-'22,Thunder,"SF, PF","1,924",-3.6,-0.8,-4.4,-1.6
CJ Elleby'21-'22,Trail Blazers,"SG, SF","1,174",-3.1,-2.3,-5.4,-1.6
Elijah Hughes'21-'22,Trail Blazers,SF,434,-5.4,-4.8,-10.1,-1.6
Keljin Blevins'21-'22,Trail Blazers,SG,349,-6,-6.4,-12.4,-1.7
Jalen Green'21-'22,Rockets,SG,"2,138",-1.5,-2.7,-4.3,-1.7
Terrence Ross'21-'22,Magic,"SG, SF","1,448",-1.7,-3.4,-5.1,-1.7
Jordan Nwora'21-'22,Bucks,"SF, PF","1,205",-3.1,-2.5,-5.6,-1.8
Greg Brown III'21-'22,Trail Blazers,"PF, C",640,-5.6,-3,-8.6,-1.9
D.J. Augustin'21-'22,Lakers,PG,883,-1.5,-5.7,-7.2,-2
Trendon Watford'21-'22,Trail Blazers,"PF, C",869,-2.7,-4.6,-7.3,-2
R.J. Hampton'21-'22,Magic,"PG, SG","1,402",-3.6,-2.1,-5.7,-2.1
Keon Johnson'21-'22,Trail Blazers,SG,697,-5.2,-3.4,-8.5,-2.1
