PLAYER,Team(s),Pos,MP,Off,Def,Tot,WAR
Otto Porter Jr.'21-'22,Warriors,"SF, PF","1,767",0.8,1.8,2.5,4.8
Jarred Vanderbilt'21-'22,Timberwolves,"SF, PF","2,009",0.1,1.7,1.9,4.7
Brandon Clarke'21-'22,Grizzlies,"PF, C","1,542",1.3,1.7,3,4.6
Robert Covington'21-'22,Clippers,"SF, PF","1,940",-0.7,2.6,1.9,4.6
Shai Gilgeous-Alexander'21-'22,Thunder,"PG, SG, SF","1,942",2.8,-0.9,1.9,4.6
De'Anthony Melton'21-'22,Grizzlies,"PG, SG","1,827",0.2,1.9,2.1,4.6
Khris Middleton'21-'22,Bucks,SF,"2,213",1.9,-0.7,1.3,4.6
Jae Crowder'21-'22,Suns,"SF, PF","2,269",-0.4,1.6,1.2,4.5
Montrezl Harrell'21-'22,Hornets,C,"1,641",2.1,0.5,2.6,4.5
Kyrie Irving'21-'22,Nets,PG,"1,261",5,-0.9,4.2,4.5
Keldon Johnson'21-'22,Spurs,SF,"2,392",1.3,-0.4,0.9,4.5
Paul George'21-'22,Clippers,"SG, SF","1,077",1.1,4,5.1,4.4
Kevin Love'21-'22,Cavaliers,"PF, C","1,665",1.9,0.3,2.3,4.3
Gary Trent Jr.'21-'22,Raptors,"SG, SF","2,647",1.4,-1,0.4,4.3
Matisse Thybulle'21-'22,76ers,"SG, SF","1,822",-2.2,4,1.8,4.2
Delon Wright'21-'22,Hawks,PG,"1,589",-0.3,2.5,2.3,4.1
Deandre Ayton'21-'22,Suns,C,"2,110",-0.2,1.1,0.9,4
Aaron Gordon'21-'22,Nuggets,PF,"2,536",0.6,-0.2,0.4,4
Tyrese Maxey'21-'22,76ers,"PG, SG","3,135",1.3,-1.5,-0.2,4
Deni Avdija'21-'22,Wizards,SF,"1,984",-0.9,2,1.1,3.9
Brandon Ingram'21-'22,Pelicans,"SG, SF","2,105",2,-1.2,0.8,3.9
Caleb Martin'21-'22,Heat,SF,"1,581",-0.5,2.5,2.1,3.9
Dillon Brooks'21-'22,Grizzlies,"SG, SF","1,220",0.1,3.1,3.3,3.8
Buddy Hield'21-'22,Pacers,"SG, SF","2,499",1.3,-1.1,0.2,3.8
Terance Mann'21-'22,Clippers,"SG, SF","2,317",-0.1,0.6,0.5,3.8
Cody Martin'21-'22,Hornets,"SG, SF","1,866",0.3,0.9,1.3,3.8
Gabe Vincent'21-'22,Heat,PG,"2,012",-0.4,1.3,0.9,3.8
Hassan Whiteside'21-'22,Jazz,C,"1,227",1,2.3,3.3,3.8
Jose Alvarado'21-'22,Pelicans,PG,951,0.5,4.3,4.9,3.7
Pat Connaughton'21-'22,Bucks,"SG, SF","2,009",0.6,0.2,0.8,3.7
Anthony Davis'21-'22,Lakers,PF,"1,404",-0.3,2.8,2.5,3.7
Javonte Green'21-'22,Bulls,"SG, SF","1,591",0.1,1.7,1.8,3.7
John Collins'21-'22,Hawks,"PF, C","1,785",0.5,0.7,1.2,3.6
Andre Drummond'21-'22,Nets,C,"1,497",-0.4,2.4,1.9,3.6
Tobias Harris'21-'22,76ers,"SF, PF","3,009",0.7,-1.1,-0.4,3.6
Tyler Herro'21-'22,Heat,"PG, SG","2,532",1.3,-1.3,0.1,3.6
Zach LaVine'21-'22,Bulls,"PG, SG","2,481",2.4,-2.3,0.1,3.6
Malik Monk'21-'22,Lakers,SG,"2,139",1.8,-1.2,0.6,3.6
Lonzo Ball'21-'22,Bulls,PG,"1,212",0,2.9,2.9,3.5
Chris Boucher'21-'22,Raptors,"PF, C","1,820",0.1,0.9,1,3.5
Wendell Carter Jr.'21-'22,Magic,C,"1,852",-0.5,1.4,0.9,3.5
Seth Curry'21-'22,Nets,"PG, SG","2,267",1.3,-1.1,0.3,3.5
Luke Kennard'21-'22,Clippers,SG,"1,919",1.5,-0.7,0.9,3.5
Kristaps Porzingis'21-'22,Wizards,"PF, C","1,481",1.3,0.6,1.9,3.5
Isaiah Hartenstein'21-'22,Clippers,C,"1,216",1.2,1.5,2.7,3.4
Lauri Markkanen'21-'22,Cavaliers,"PF, C","1,878",1.6,-0.9,0.8,3.4
Ricky Rubio'21-'22,Pacers,PG,970,0.5,3.6,4,3.4
Bradley Beal'21-'22,Wizards,"SG, SF","1,439",1.1,0.6,1.7,3.3
Bruce Brown'21-'22,Nets,"PG, SG, SF","1,913",0.3,0.3,0.7,3.3
Danny Green'21-'22,76ers,"SG, SF","1,672",-0.2,1.3,1.1,3.3
Tyus Jones'21-'22,Grizzlies,PG,"1,811",1.4,-0.5,0.9,3.3
Nikola Vucevic'21-'22,Bulls,C,"2,599",-1.8,1.6,-0.3,3.3
Reggie Bullock'21-'22,Mavericks,"SG, SF","2,609",-0.2,-0.1,-0.4,3.2
Josh Hart'21-'22,Trail Blazers,SF,"1,791",0.9,-0.1,0.8,3.2
Austin Reaves'21-'22,Lakers,SG,"1,418",0,1.7,1.7,3.2
Grayson Allen'21-'22,Bucks,SG,"2,110",0.2,-0.1,0.1,3.1
Wesley Matthews'21-'22,Bucks,"SG, SF","1,347",-1.3,3,1.7,3.1
JaVale McGee'21-'22,Suns,C,"1,305",0,1.8,1.8,3.1
Dwight Powell'21-'22,Mavericks,"PF, C","2,047",0.2,0.1,0.3,3.1
Harrison Barnes'21-'22,Kings,"SF, PF","2,587",1.2,-1.7,-0.5,3
Blake Griffin'21-'22,Nets,"PF, C",983,-1.2,4,2.9,2.9
Tre Jones'21-'22,Spurs,PG,"1,148",0.3,1.9,2.2,2.9
Damian Lillard'21-'22,Trail Blazers,PG,"1,056",4.2,-1.6,2.5,2.9
Payton Pritchard'21-'22,Celtics,"PG, SG","1,310",2,-0.3,1.6,2.9
Kenrich Williams'21-'22,Thunder,SF,"1,072",-1.2,3.8,2.6,2.9
Maxi Kleber'21-'22,Mavericks,PF,"1,907",-2,2.1,0.1,2.8
Onyeka Okongwu'21-'22,Hawks,"PF, C","1,100",0,2.2,2.2,2.8
Kevin Porter Jr.'21-'22,Rockets,SG,"1,907",0.2,-0.1,0.1,2.8
OG Anunoby'21-'22,Raptors,SF,"1,945",0.2,-0.2,0,2.7
Malcolm Brogdon'21-'22,Pacers,PG,"1,206",2.4,-0.7,1.7,2.7
Kevin Huerter'21-'22,Hawks,SG,"2,342",0.4,-0.9,-0.5,2.7
Derrick Rose'21-'22,Knicks,"PG, SG",636,2.1,3.4,5.5,2.7
Grant Williams'21-'22,Celtics,PF,"2,529",-1,0.4,-0.6,2.7
Monte Morris'21-'22,Nuggets,PG,"2,395",1.5,-2,-0.5,2.6
Mike Muscala'21-'22,Thunder,"PF, C",592,2.4,3.3,5.7,2.6
Myles Turner'21-'22,Pacers,C,"1,235",-1.2,2.5,1.3,2.6
Ivica Zubac'21-'22,Clippers,C,"1,852",-0.7,0.7,0,2.6
Bones Hyland'21-'22,Nuggets,PG,"1,397",2.3,-1.6,0.8,2.5
Duncan Robinson'21-'22,Heat,"SG, SF","2,202",0.6,-1.1,-0.5,2.5
Devonte' Graham'21-'22,Pelicans,PG,"2,222",0.9,-1.6,-0.6,2.4
George Hill'21-'22,Bucks,PG,"1,329",-1.1,1.9,0.8,2.4
John Konchar'21-'22,Grizzlies,SG,"1,348",0.3,0.6,0.8,2.4
Jaden McDaniels'21-'22,Timberwolves,PF,"1,933",-2.3,1.9,-0.3,2.4
Precious Achiuwa'21-'22,Raptors,PF,"1,892",-2.5,2.1,-0.4,2.3
LaMarcus Aldridge'21-'22,Nets,C,"1,050",-0.2,1.8,1.6,2.3
Chris Duarte'21-'22,Pacers,SG,"1,541",-0.8,1,0.2,2.3
Andre Iguodala'21-'22,Warriors,"SG, SF",664,-0.4,4.4,4,2.3
Jae'Sean Tate'21-'22,Rockets,"SF, PF","2,056",-1.3,0.8,-0.5,2.3
Nicolas Batum'21-'22,Clippers,"SG, SF, PF","1,462",-1.6,1.7,0.1,2.2
Nemanja Bjelica'21-'22,Warriors,"PF, C","1,292",-1.2,1.7,0.6,2.2
DeMarcus Cousins'21-'22,Nuggets,C,775,0.7,2,2.8,2.2
Luguentz Dort'21-'22,Thunder,"SG, SF","1,665",-1.4,1.2,-0.2,2.2
De'Aaron Fox'21-'22,Kings,PG,"2,083",1.9,-2.6,-0.7,2.2
Nassir Little'21-'22,Trail Blazers,"SF, PF","1,088",0,1.3,1.3,2.2
Hamidou Diallo'21-'22,Pistons,"SG, SF","1,269",-0.9,1.3,0.4,2.1
Reggie Jackson'21-'22,Clippers,"PG, SG","2,337",-0.9,-0.1,-1,2.1
Cameron Payne'21-'22,Suns,PG,"1,450",-0.6,0.7,0.1,2.1
Anfernee Simons'21-'22,Trail Blazers,"PG, SG","1,681",2.2,-2.5,-0.3,2.1
Kentavious Caldwell-Pope'21-'22,Wizards,"SG, SF","2,329",-1,-0.1,-1.1,2
Evan Fournier'21-'22,Knicks,"SG, SF","2,358",0.8,-1.8,-1.1,2
Tim Hardaway Jr.'21-'22,Mavericks,"SG, SF","1,245",-0.1,0.5,0.4,2
Kelly Oubre Jr.'21-'22,Hornets,SF,"1,999",0.3,-1.1,-0.8,2
Kyle Anderson'21-'22,Grizzlies,"SF, PF","1,705",-1.3,0.7,-0.6,1.9
Evan Mobley'21-'22,Cavaliers,C,"2,331",-2.7,1.6,-1.1,1.9
Isaac Okoro'21-'22,Cavaliers,"SG, SF","1,981",-1.1,0.3,-0.8,1.9
Devin Vassell'21-'22,Spurs,"SG, SF","1,937",-0.2,-0.6,-0.8,1.9
Eric Bledsoe'21-'22,Trail Blazers,"PG, SG","1,361",-2.2,2,-0.2,1.8
Daniel Gafford'21-'22,Wizards,C,"1,444",0.4,-0.7,-0.3,1.8
Rudy Gay'21-'22,Jazz,PF,"1,038",-0.1,0.8,0.6,1.8
Cory Joseph'21-'22,Pistons,PG,"1,600",-0.4,-0.1,-0.5,1.8
Frank Ntilikina'21-'22,Mavericks,"PG, SG",810,-2.1,3.6,1.5,1.8
Kelly Olynyk'21-'22,Pistons,"PF, C",764,0.6,1.3,1.9,1.8
Klay Thompson'21-'22,Warriors,"SG, SF","1,733",1,-1.8,-0.8,1.8
Nic Claxton'21-'22,Nets,C,"1,072",-1.4,1.6,0.3,1.7
Amir Coffey'21-'22,Clippers,"PG, SG, SF","1,567",0.3,-0.9,-0.6,1.7
Caris LeVert'21-'22,Cavaliers,"SG, SF","1,781",1,-1.8,-0.9,1.7
Dean Wade'21-'22,Cavaliers,PF,980,-1.2,1.9,0.7,1.7
Jordan McLaughlin'21-'22,Timberwolves,PG,985,0.6,-0.3,0.3,1.6
Davion Mitchell'21-'22,Kings,PG,"2,076",-1.6,0.4,-1.2,1.6
Georges Niang'21-'22,76ers,PF,"1,934",0.3,-1.4,-1.2,1.6
RJ Barrett'21-'22,Knicks,"SG, SF","2,417",-0.7,-0.9,-1.6,1.5
DeAndre' Bembry'21-'22,Bucks,SF,"1,026",-0.8,0.9,0.1,1.5
Danilo Gallinari'21-'22,Hawks,"SF, PF","1,784",1.2,-2.2,-1.1,1.5
Terence Davis'21-'22,Kings,"PG, SG",536,2,0.3,2.2,1.4
Josh Green'21-'22,Mavericks,"SG, SF","1,160",-2.2,1.9,-0.3,1.4
Aaron Holiday'21-'22,Suns,"PG, SG","1,041",-0.2,0.1,-0.1,1.4
Patty Mills'21-'22,Nets,"PG, SG","2,418",0.2,-1.8,-1.6,1.4
Larry Nance Jr.'21-'22,Pelicans,"PF, C","1,170",-0.1,-0.4,-0.4,1.4
Mason Plumlee'21-'22,Hornets,C,"1,793",-2.2,0.9,-1.3,1.4
Thaddeus Young'21-'22,Raptors,PF,932,-0.5,0.7,0.2,1.4
Malik Beasley'21-'22,Timberwolves,"SG, SF","2,095",0.5,-2,-1.6,1.3
Jeremy Lamb'21-'22,Kings,"SG, SF",935,0.7,-0.8,-0.1,1.3
Josh Okogie'21-'22,Timberwolves,"SG, SF",518,-4,6.1,2.1,1.3
Landry Shamet'21-'22,Suns,"SG, SF","1,629",-1,-0.2,-1.1,1.3
Xavier Tillman'21-'22,Grizzlies,PF,840,-2.8,3,0.2,1.3
P.J. Washington'21-'22,Hornets,"PF, C","1,768",0.1,-1.4,-1.3,1.3
Justise Winslow'21-'22,Trail Blazers,"PG, SG, SF",774,-1.2,1.8,0.6,1.3
Cade Cunningham'21-'22,Pistons,PG,"2,088",-1.2,-0.4,-1.7,1.2
Josh Giddey'21-'22,Thunder,SG,"1,700",-1.9,0.5,-1.4,1.2
Jerami Grant'21-'22,Pistons,"SF, PF","1,500",-0.5,-0.7,-1.2,1.2
Stanley Johnson'21-'22,Lakers,"SF, PF","1,094",-0.7,0.2,-0.5,1.2
Derrick Jones Jr.'21-'22,Bulls,"SF, PF",958,-0.5,0.2,-0.3,1.2
Brook Lopez'21-'22,Bucks,C,630,-3.1,4.1,1,1.2
Trey Murphy III'21-'22,Pelicans,SG,984,0.2,-0.6,-0.5,1.2
Jaylen Nowell'21-'22,Timberwolves,SG,987,2.7,-3,-0.3,1.2
Obi Toppin'21-'22,Knicks,PF,"1,230",-0.5,-0.3,-0.8,1.2
Kemba Walker'21-'22,Knicks,PG,948,-0.3,0.1,-0.2,1.2
Mo Bamba'21-'22,Magic,C,"1,824",-2.1,0.6,-1.5,1.1
Tony Bradley'21-'22,Bulls,"PF, C",557,-2.4,3.6,1.2,1.1
Quentin Grimes'21-'22,Knicks,SG,786,-1.4,1.4,0,1.1
Gary Harris'21-'22,Magic,SG,"1,730",-1.1,-0.3,-1.5,1.1
T.J. McConnell'21-'22,Pacers,PG,652,-0.4,0.9,0.5,1.1
Jalen McDaniels'21-'22,Hornets,"SF, PF",895,-1,0.6,-0.4,1.1
Raul Neto'21-'22,Wizards,PG,"1,372",-0.4,-0.7,-1.2,1.1
Taurean Prince'21-'22,Timberwolves,"SF, PF","1,242",-1,-0.1,-1,1.1
Josh Richardson'21-'22,Spurs,"SG, SF","1,600",-0.4,-1.1,-1.4,1.1
Carmelo Anthony'21-'22,Lakers,"SF, PF","1,793",0.1,-1.8,-1.7,1
Marvin Bagley III'21-'22,Pistons,"PF, C","1,146",-0.9,-0.2,-1,1
Will Barton'21-'22,Nuggets,"SG, SF","2,449",-0.5,-1.4,-1.9,1
Facundo Campazzo'21-'22,Nuggets,PG,"1,197",-2.5,1.4,-1,1
Donte DiVincenzo'21-'22,Kings,SG,"1,006",-2,1.2,-0.8,1
Willy Hernangomez'21-'22,Pelicans,C,841,1.6,-2.1,-0.5,1
David Nwaba'21-'22,Rockets,"SG, SF",609,0.5,0,0.4,1
Norman Powell'21-'22,Clippers,"SG, SF","1,458",1.3,-2.7,-1.4,1
Jalen Suggs'21-'22,Magic,"PG, SG","1,307",-4.2,2.8,-1.3,1
Lindy Waters III'21-'22,Thunder,SG,465,0.7,0.7,1.4,1
Trent Forrest'21-'22,Jazz,"PG, SG",765,-1,0.5,-0.4,0.9
Enes Freedom'21-'22,Celtics,C,411,-0.9,2.4,1.5,0.9
Markelle Fultz'21-'22,Magic,"PG, SG",360,0.5,1.6,2.2,0.9
Taj Gibson'21-'22,Knicks,"PF, C",946,-1.7,0.8,-0.9,0.9
Ty Jerome'21-'22,Thunder,SG,801,-0.9,0.5,-0.5,0.9
Frank Kaminsky'21-'22,Suns,C,181,-2.3,9,6.7,0.9
Davon Reed'21-'22,Nuggets,SG,668,-0.3,0.1,-0.2,0.9
Paul Reed'21-'22,76ers,PF,442,0.7,0.5,1.2,0.9
Day'Ron Sharpe'21-'22,Nets,C,391,1,1,2,0.9
Juan Toscano-Anderson'21-'22,Warriors,"SF, PF","1,043",-2,0.9,-1,0.9
Kent Bazemore'21-'22,Lakers,"SG, SF",545,-3.7,3.7,0.1,0.8
Davis Bertans'21-'22,Mavericks,"SF, PF",999,-0.5,-0.9,-1.3,0.8
Malachi Flynn'21-'22,Raptors,PG,573,-0.3,0.1,-0.1,0.8
Joe Ingles'21-'22,Trail Blazers,"SF, PF","1,122",-0.2,-1.1,-1.3,0.8
Naji Marshall'21-'22,Pelicans,SF,791,-1.4,0.7,-0.7,0.8
Shake Milton'21-'22,76ers,"PG, SG, SF","1,337",-0.5,-1.1,-1.6,0.8
Victor Oladipo'21-'22,Heat,SG,541,-1.1,1.3,0.2,0.8
Jalen Smith'21-'22,Pacers,"PF, C",925,-0.5,-0.5,-1,0.8
Moritz Wagner'21-'22,Magic,"PF, C",960,0.4,-1.5,-1.1,0.8
Christian Wood'21-'22,Rockets,"PF, C","2,094",-0.8,-1.2,-2,0.8
Cole Anthony'21-'22,Magic,PG,"2,059",-0.1,-2,-2.1,0.7
Bojan Bogdanovic'21-'22,Jazz,"SF, PF","2,345",0.3,-2.4,-2.2,0.7
Dewayne Dedmon'21-'22,Heat,C,"1,203",-2.3,0.7,-1.7,0.7
Danuel House Jr.'21-'22,Jazz,"SF, PF",839,-2,0.7,-1.3,0.7
Isaiah Joe'21-'22,76ers,"PG, SG",624,-1.2,0.7,-0.5,0.7
Corey Kispert'21-'22,Wizards,SF,"1,801",0.1,-2.1,-2,0.7
Rodney McGruder'21-'22,Pistons,"PG, SG",754,-0.1,-0.7,-0.8,0.7
Cedi Osman'21-'22,Cavaliers,SF,"1,462",-0.6,-1.2,-1.8,0.7
Ziaire Williams'21-'22,Grizzlies,SG,"1,514",-1,-0.9,-1.9,0.7
Keita Bates-Diop'21-'22,Spurs,"SF, PF",956,-2.6,1,-1.5,0.6
Saddiq Bey'21-'22,Pistons,"SF, PF","2,704",0.1,-2.4,-2.3,0.6
Troy Brown Jr.'21-'22,Bulls,"SG, SF","1,092",-1.7,0.1,-1.6,0.6
Goran Dragic'21-'22,Nets,"PG, SG",577,-0.3,-0.4,-0.6,0.6
Anthony Gill'21-'22,Wizards,PF,463,0.5,-0.6,-0.1,0.6
Gordon Hayward'21-'22,Hornets,SF,"1,564",-0.8,-1.2,-2,0.6
Juancho Hernangomez'21-'22,Jazz,PF,501,-0.7,0,-0.7,0.6
Isaiah Jackson'21-'22,Pacers,PF,541,-1.3,0.6,-0.7,0.6
Braxton Key'21-'22,Pistons,SF,197,-2.8,5.6,2.8,0.6
Trey Lyles'21-'22,Kings,PF,"1,537",-0.5,-1.5,-2,0.6
Coby White'21-'22,Bulls,"PG, SG","1,773",0.3,-2.3,-2.1,0.6
Omer Yurtseven'21-'22,Heat,C,744,-2,0.9,-1.2,0.6
Devontae Cacok'21-'22,Spurs,PF,121,1.6,4,5.6,0.5
Torrey Craig'21-'22,Suns,SF,"1,665",-2.2,0,-2.2,0.5
P.J. Dozier'21-'22,Nuggets,SG,340,-2.6,2.6,-0.1,0.5
Sam Hauser'21-'22,Celtics,SF,173,2.8,0.5,3.3,0.5
Dwight Howard'21-'22,Lakers,C,971,-0.2,-1.5,-1.7,0.5
De'Andre Hunter'21-'22,Hawks,SF,"1,752",-1.9,-0.2,-2.1,0.5
Nathan Knight'21-'22,Timberwolves,PF,267,-0.6,1.7,1.1,0.5
Furkan Korkmaz'21-'22,76ers,"SG, SF","1,475",-0.9,-1.1,-2,0.5
Romeo Langford'21-'22,Spurs,"SG, SF",771,-2.3,0.8,-1.6,0.5
Miles McBride'21-'22,Knicks,PG,372,-1.4,1.5,0.1,0.5
Michael Porter Jr.'21-'22,Nuggets,"SF, PF",265,-4.4,5.6,1.2,0.5
Naz Reid'21-'22,Timberwolves,C,"1,269",-2.7,0.7,-2,0.5
Jericho Sims'21-'22,Knicks,PF,555,-2.7,1.8,-0.9,0.5
Matt Thomas'21-'22,Bulls,SG,459,-1,0.4,-0.7,0.5
Tristan Thompson'21-'22,Bulls,"PF, C",935,-1.1,-0.6,-1.7,0.5
Ish Wainright'21-'22,Suns,"SF, PF",385,-1.8,1.3,-0.4,0.5
Dylan Windler'21-'22,Cavaliers,"SG, SF",459,-1.9,1.4,-0.5,0.5
Khem Birch'21-'22,Raptors,"PF, C","1,054",-1.6,-0.3,-2,0.4
Justin Champagnie'21-'22,Raptors,SF,281,1.1,-0.8,0.3,0.4
Gary Clark'21-'22,Pelicans,"SF, PF",378,-0.4,-0.5,-0.9,0.4
Gorgui Dieng'21-'22,Hawks,"PF, C",381,-1.7,1,-0.7,0.4
Jared Harper'21-'22,Pelicans,PG,43,19.6,-4.4,15.2,0.4
Luke Kornet'21-'22,Celtics,"PF, C",122,2.8,1.5,4.4,0.4
Kyle Kuzma'21-'22,Wizards,"SF, PF","2,204",-1.8,-0.6,-2.4,0.4
Aaron Nesmith'21-'22,Celtics,SF,626,-2.4,0.8,-1.5,0.4
Isaiah Stewart'21-'22,Pistons,C,"1,816",-3.1,0.8,-2.3,0.4
Sterling Brown'21-'22,Mavericks,"SG, SF",654,-3.3,1.5,-1.9,0.3
Kris Dunn'21-'22,Trail Blazers,PG,336,-1.4,0.1,-1.2,0.3
Derrick Favors'21-'22,Thunder,"PF, C",653,-3.7,1.9,-1.7,0.3
Solomon Hill'21-'22,Hawks,PF,139,-2.6,4.1,1.5,0.3
Talen Horton-Tucker'21-'22,Lakers,SF,"1,511",-2.4,0,-2.4,0.3
Markus Howard'21-'22,Nuggets,"PG, SG",176,3.5,-2.6,0.9,0.3
Damion Lee'21-'22,Warriors,"SG, SF","1,380",-2.4,0.1,-2.3,0.3
Saben Lee'21-'22,Pistons,PG,604,-1.9,0.1,-1.8,0.3
Paul Millsap'21-'22,76ers,PF,382,-2.2,1.2,-1,0.3
Greg Monroe'21-'22,Timberwolves,C,202,-0.7,1.2,0.5,0.3
