PLAYER,Team(s),Pos,G,MP,Off,Def,Tot,WAR
Dean Wade'22-'23,Cavaliers,PF,902,-2.6,-2.9,1.8,-1.1,0.8
Marvin Bagley III'22-'23,Pistons,"PF, C",990,-1.9,-1.9,0.5,-1.4,0.7
Jalen Duren'22-'23,Pistons,"PF, C","1,670",-1.8,-1.9,0,-1.9,0.7
Haywood Highsmith'22-'23,Heat,"SF, PF","1,130",-3.1,-3.4,1.8,-1.6,0.7
Eugene Omoruyi'22-'23,Pistons,"SF, PF, C",645,-2,-1.6,1.2,-0.5,0.7
Justise Winslow'22-'23,Trail Blazers,"PG, SG, SF",776,-2.5,-2.6,1.5,-1.1,0.7
Darius Bazley'22-'23,Suns,PF,616,-3.5,-3.7,3,-0.7,0.6
Jamal Cain'22-'23,Heat,SF,240,1.4,1.1,1.1,2.2,0.6
Kris Dunn'22-'23,Jazz,PG,568,2.8,2.1,-2.7,-0.6,0.6
Willy Hernangomez'22-'23,Pelicans,C,458,-0.9,-1.7,1.5,-0.2,0.6
Romeo Langford'22-'23,Spurs,"SG, SF",844,-2,-2.1,0.6,-1.5,0.6
Shake Milton'22-'23,76ers,"PG, SG, SF","1,588",-0.2,-0.2,-1.8,-2,0.6
Gary Payton II'22-'23,Warriors,"PG, SG",559,0.1,0.8,-1.5,-0.7,0.6
Payton Pritchard'22-'23,Celtics,PG,700,-0.2,-0.7,-0.3,-1.1,0.6
Jeremy Sochan'22-'23,Spurs,PF,"1,458",-2.5,-1.9,0,-1.9,0.6
Jonas Valanciunas'22-'23,Pelicans,C,"1,968",-0.8,-0.7,-1.5,-2.2,0.6
Mark Williams'22-'23,Hornets,C,828,-2.2,-2.4,1.1,-1.3,0.6
Mo Bamba'22-'23,Lakers,C,779,-1.4,-0.9,-0.7,-1.6,0.5
Charles Bassey'22-'23,Spurs,C,508,-1.9,-1.7,0.8,-0.9,0.5
Bruno Fernando'22-'23,Hawks,C,405,-2,-2.3,1.7,-0.6,0.5
Luka Garza'22-'23,Timberwolves,C,243,4.4,4.8,-3.8,1,0.5
Shaquille Harrison'22-'23,Lakers,SG,148,2.9,3,0.6,3.6,0.5
Jonathan Isaac'22-'23,Magic,"SF, PF",124,3.4,2.1,3.5,5.6,0.5
Boban Marjanovic'22-'23,Rockets,C,171,0.4,0.9,1.7,2.5,0.5
Andrew Nembhard'22-'23,Pacers,"PG, SG","2,073",-1.5,-1.6,-0.7,-2.3,0.5
KZ Okpala'22-'23,Kings,PF,248,-3.6,-3.9,4.8,0.9,0.5
Duncan Robinson'22-'23,Heat,"SG, SF, PF","1,109",0.6,0.9,-2.9,-2.1,0.5
Isaiah Stewart'22-'23,Pistons,C,"1,414",-2.3,-2,-0.1,-2.1,0.5
