PLAYER,Team(s),Pos,G,MP,Off,Def,Tot,WAR
Buddy Hield,"IND, PHI","SF, SG",84,"2,160",0.9,-0.7,0.2,3.3
Domantas Sabonis,SAC,C,82,"2,928",2.5,-0.1,2.4,8.2
Chet Holmgren,OKC,C,82,"2,413",0.1,1.7,1.8,5.9
Payton Pritchard,BOS,PG,82,"1,825",1.6,-0.4,1.2,3.8
Nickeil Alexander-Walker,MIN,SG,82,"1,921",-0.4,1.6,1.1,3.9
Obi Toppin,IND,PF,82,"1,730",1.3,-0.6,0.8,3.2
Mikal Bridges,BRK,SF,82,"2,854",1.5,-0.7,0.7,5.2
Cason Wallace,OKC,SG,82,"1,692",-0.4,0.9,0.6,2.9
Austin Reaves,LAL,SG,82,"2,629",1.5,-0.9,0.5,4.5
Paul Reed,PHI,C,82,"1,590",-1,1.4,0.3,2.5
Bobby Portis,MIL,PF,82,"2,008",-0.1,0.3,0.2,3.1
Jonas Valanciunas,NOP,C,82,"1,925",-0.4,0.3,-0.1,2.6
Jalen Green,HOU,SG,82,"2,601",-0.2,-0.4,-0.5,2.8
Harrison Barnes,SAC,PF,82,"2,381",-0.4,-1.2,-1.6,1.1
Christian Braun,DEN,SG,82,"1,655",-1.7,0,-1.7,0.7
Georges Niang,CLE,PF,82,"1,831",-2.6,-0.5,-3.1,-0.7
Reggie Jackson,DEN,PG,82,"1,817",-1.8,-1.6,-3.3,-0.9
Donte DiVincenzo,NYK,SG,81,"2,360",2,0.7,2.7,7
Michael Porter Jr.,DEN,SF,81,"2,565",1.4,0.6,2,6.5
Josh Hart,NYK,SF,81,"2,707",-0.3,1.7,1.5,6.1
Naz Reid,MIN,C,81,"1,964",-1,1.2,0.2,2.9
Cole Anthony,ORL,PG,81,"1,817",-1.5,0.9,-0.7,1.8
Pascal Siakam,"TOR, IND",PF,80,"2,657",2.9,-1,1.9,6.7
Moritz Wagner,ORL,C,80,"1,415",1.7,-0.7,1,2.8
Josh Giddey,OKC,SG,80,"2,011",0.2,0.6,0.8,3.8
Paolo Banchero,ORL,PF,80,"2,799",0,0.2,0.2,4.3
Dennis Schröder,"TOR, BRK",PG,80,"2,486",-0.3,-1.2,-1.6,1.3
Peyton Watson,DEN,SF,80,"1,488",-2.7,1,-1.7,0.6
Corey Kispert,WAS,SF,80,"2,067",0.3,-2.4,-2.1,0.4
Nikola Jokic,DEN,C,79,"2,737",7.3,1.6,8.9,17.9
Anthony Edwards,MIN,SG,79,"2,770",2.7,1.1,3.8,9.9
DeMar DeRozan,CHI,SF,79,"2,989",4,-0.8,3.2,9.7
Sam Hauser,BOS,SF,79,"1,741",1.8,0.8,2.5,4.9
Bogdan Bogdanovic,ATL,SG,79,"2,401",1.7,-0.2,1.5,5.4
Andre Drummond,CHI,C,79,"1,351",-0.8,2,1.2,2.8
Kyle Anderson,MIN,PF,79,"1,782",-1.3,2,0.8,3.3
Royce O'Neale,"BRK, PHO",SF,79,"1,954",-0.5,1.3,0.7,3.5
Luguentz Dort,OKC,SF,79,"2,246",-0.1,0.7,0.7,4
Malik Beasley,MIL,SG,79,"2,337",0.1,0.2,0.3,3.7
Brook Lopez,MIL,C,79,"2,411",-1.2,1,-0.2,3
Tim Hardaway Jr.,DAL,SF,79,"2,120",0.5,-1.4,-0.9,1.9
