Player,Season,Team,Minutes,Position,LEBRON,O LEBRON,D LEBRON,LEBRON WAR,LEBRON Contract Value,Box LEBRON,BOXOLEBRON,BOXDLEBRON
Alec Burks,2022-23,DET,"1,122",SG,0.43,1.3,-0.88,2,"6,500,613.00",-0.31,0.61,-0.92
Jose Alvarado,2022-23,NOP,"1,310",PG,0.41,0.07,0.35,2.4,"7,555,320.00",-0.63,-0.42,-0.21
Orlando Robinson,2022-23,MIA,425,C,0.4,-1.18,1.58,0.8,"2,438,726.00",-0.55,-1.65,1.09
Kelly Olynyk,2022-23,UTA,"1,942",C,0.39,-0.03,0.42,3.5,"11,117,272.00",0.26,-0.27,0.53
Willy Hernangomez,2022-23,NOP,458,C,0.39,0.08,0.31,0.8,"2,612,276.00",0.9,0.24,0.65
Andrew Wiggins,2022-23,GSW,"1,190",SF,0.37,-0.37,0.74,2.1,"6,752,269.00",0.52,0.28,0.24
Mikal Bridges,2022-23,PHO/BRK,"2,963",SF,0.34,0.3,0.04,5.2,"16,663,166.00",0.66,0.69,-0.03
Austin Reaves,2022-23,LAL,"1,843",SG,0.34,1.05,-0.71,3.2,"10,337,635.00",-0.9,-0.31,-0.58
Trevor Hudgins,2022-23,HOU,28,PG,0.33,0.02,0.32,0,"158,745.00",0.35,0,0.35
Dwight Powell,2022-23,DAL,"1,458",C,0.31,-0.46,0.78,2.5,"8,105,027.00",-0.59,-0.76,0.17
Al Horford,2022-23,BOS,"1,921",C,0.31,-0.66,0.97,3.3,"10,656,338.00",1.52,0.01,1.51
Buddy Hield,2022-23,IND,"2,482",SF,0.3,0.89,-0.59,4.3,"13,723,000.00",-0.27,0.87,-1.14
Luguentz Dort,2022-23,OKC,"2,272",SG,0.29,0.13,0.16,3.9,"12,526,430.00",-0.61,-0.36,-0.25
Santi Aldama,2022-23,MEM,"1,682",PF,0.29,-0.62,0.91,2.9,"9,267,388.00",-0.07,-0.78,0.71
Shaquille Harrison,2022-23,POR,120,SG,0.29,0.11,0.18,0.2,"660,665.00",0.3,-0.03,0.33
Cade Cunningham,2022-23,DET,400,PG,0.28,0.51,-0.23,0.7,"2,198,612.00",0.27,0.48,-0.21
Jonathan Isaac,2022-23,ORL,124,PF,0.28,-0.44,0.72,0.2,"680,553.00",0.41,0.01,0.4
Nicolas Batum,2022-23,LAC,"1,709",PF,0.27,-0.86,1.13,2.9,"9,342,368.00",-0.55,-1.22,0.67
Cole Anthony,2022-23,ORL,"1,552",PG,0.24,1.01,-0.76,2.6,"8,411,871.00",0.18,0.17,0.02
Kentavious Caldwell-Pope,2022-23,DEN,"2,381",SG,0.24,-0.6,0.84,4,"12,890,648.00",-0.14,-0.84,0.7
Ben Simmons,2022-23,BRK,"1,105",PG,0.22,-1.48,1.7,1.9,"5,923,901.00",0.25,-1.34,1.59
Hamidou Diallo,2022-23,DET,996,SG,0.2,-0.84,1.04,1.7,"5,303,981.00",-1.64,-1.57,-0.06
Mason Plumlee,2022-23,CHO/LAC,"2,053",C,0.19,-0.25,0.44,3.4,"10,918,705.00",0.52,-0.27,0.8
Bismack Biyombo,2022-23,PHO,874,C,0.19,-2.69,2.88,1.5,"4,644,243.00",-0.04,-2.64,2.6
Xavier Tillman,2022-23,MEM,"1,180",PF,0.19,-1,1.18,2,"6,260,389.00",0.14,-0.74,0.88
Lindy Waters III,2022-23,OKC,531,SG,0.17,0.04,0.13,0.9,"2,797,877.00",-0.54,-0.01,-0.53
D'Angelo Russell,2022-23,MIN/LAL,"2,304",PG,0.16,0.65,-0.49,3.8,"12,079,873.00",0.58,1.27,-0.69
Wenyen Gabriel,2022-23,LAL,"1,024",PF,0.15,-0.83,0.99,1.7,"5,361,509.00",-1.32,-1.74,0.43
Jonas Valanciunas,2022-23,NOP,"1,968",C,0.15,-0.32,0.47,3.2,"10,273,368.00",0.73,-0.1,0.83
Tyus Jones,2022-23,MEM,"1,940",PG,0.13,0.98,-0.85,3.2,"10,062,210.00",1.04,1.17,-0.13
Tre Jones,2022-23,SAS,"1,984",PG,0.12,0.72,-0.6,3.2,"10,263,815.00",-0.9,0.02,-0.92
CJ McCollum,2022-23,NOP,"2,649",SG,0.12,1.69,-1.57,4.3,"13,699,768.00",0.81,1.06,-0.25
Javonte Green,2022-23,CHI,480,SG,0.12,-1.48,1.6,0.8,"2,481,786.00",-0.65,-1.72,1.07
Bobby Portis,2022-23,MIL,"1,819",PF,0.11,-0.08,0.18,2.9,"9,344,429.00",0.86,0.51,0.35
Coby White,2022-23,CHI,"1,730",SG,0.1,0.83,-0.73,2.8,"8,867,035.00",-0.75,-0.44,-0.31
Talen Horton-Tucker,2022-23,UTA,"1,313",SG,0.08,0.35,-0.26,2.1,"6,686,407.00",-0.42,0.28,-0.7
T.J. McConnell,2022-23,IND,"1,526",PG,0.08,0.1,-0.02,2.4,"7,765,260.00",-1.03,-0.44,-0.59
Daniel Gafford,2022-23,WAS,"1,604",C,0.08,-0.72,0.79,2.6,"8,145,936.00",0.4,-0.74,1.13
Dejounte Murray,2022-23,ATL,"2,693",SG,0.05,0.64,-0.58,4.2,"13,558,119.00",0.84,1.22,-0.38
Robert Covington,2022-23,LAC,779,PF,0.05,-0.8,0.85,1.2,"3,911,547.00",0.5,-1,1.5
Skylar Mays,2022-23,POR,189,SG,0.02,0.32,-0.3,0.3,"935,185.00",0.42,0.4,0.02
Luka Garza,2022-23,MIN,243,C,0,1.4,-1.4,0.4,"1,196,596.00",-0.67,0.75,-1.41
Tyrese Maxey,2022-23,PHI,"2,016",SG,-0.01,1.36,-1.37,3.1,"9,866,429.00",0.37,1.55,-1.18
Cody Zeller,2022-23,MIA,217,C,-1,-0.98,-0.02,0.2,"626,572.00",-0.89,-1.15,0.27
Jordan McLaughlin,2022-23,MIN,678,PG,-0.02,-0.28,0.25,1,"3,305,605.00",-1.05,-0.59,-0.46
Onyeka Okongwu,2022-23,ATL,"1,849",C,-0.04,-1.2,1.16,2.8,"8,963,094.00",0.43,-0.72,1.16
TyTy Washington Jr.,2022-23,HOU,433,PG,-0.05,-0.51,0.46,0.7,"2,086,846.00",-1.01,-0.83,-0.18
Stanley Umude,2022-23,DET,2,SG,-0.05,-0.04,-0.01,0,"10,201.00",-0.07,-0.08,0
Jay Huff,2022-23,WAS,95,C,-0.06,-0.14,0.08,0.1,"456,260.00",-0.38,-0.38,0
Dillon Brooks,2022-23,MEM,"2,214",SF,-0.06,-0.96,0.9,3.3,"10,640,429.00",-0.84,-0.86,0.02
Terence Davis,2022-23,SAC,841,SG,-0.06,-0.3,0.24,1.3,"4,034,979.00",0.08,0.18,-0.1
Terry Rozier,2022-23,CHO,"2,221",SG,-0.06,1.51,-1.58,3.3,"10,639,955.00",-0.87,0.31,-1.19
Alize Johnson,2022-23,SAS,30,PF,-0.09,-0.37,0.28,0,"140,120.00",-0.5,-0.56,0.06
Russell Westbrook,2022-23,LAL/LAC,"2,126",PG,-0.09,0.75,-0.84,3.2,"10,087,200.00",0.53,0.77,-0.24
Mo Bamba,2022-23,ORL/LAL,768,C,-0.09,-0.5,0.41,1.1,"3,643,215.00",0.88,-0.31,1.19
Brandon Clarke,2022-23,MEM,"1,090",PF,-0.09,-0.92,0.83,1.6,"5,159,045.00",0.4,-0.41,0.81
Mark Williams,2022-23,CHO,828,C,-0.1,-1.35,1.25,1.2,"3,912,534.00",0.4,-1.22,1.63
Jalen Smith,2022-23,IND,"1,279",PF,-0.1,-0.12,0.02,1.9,"6,025,145.00",-0.49,-0.25,-0.24
Christian Koloko,2022-23,TOR,802,C,-0.11,-2.19,2.07,1.2,"3,762,591.00",-1.43,-2.8,1.37
Luka Samanic,2022-23,UTA,161,PF,-0.11,-0.31,0.2,0.2,"754,215.00",-0.45,-0.59,0.14
Obi Toppin,2022-23,NYK,"1,050",PF,-0.13,0.01,-0.15,1.5,"4,889,315.00",-0.58,-0.07,-0.51
Trey Lyles,2022-23,SAC,"1,247",PF,-0.14,-0.12,-0.01,1.8,"5,792,981.00",0.05,0.05,0
Tyler Dorsey,2022-23,DAL,8,SG,-0.15,0.13,-0.28,0,"38,142.00",-0.19,0.12,-0.31
Kemba Walker,2022-23,DAL,144,PG,-0.16,0.58,-0.74,0.2,"660,611.00",-0.05,0.39,-0.44
Facundo Campazzo,2022-23,DAL,52,PG,-0.17,-0.14,-0.03,0.1,"239,004.00",-0.23,0.04,-0.27
Lester Quinones,2022-23,GSW,18,SG,-0.17,-0.09,-0.08,0,"82,864.00",-0.24,-0.09,-0.15
Gary Payton II,2022-23,POR/GSW,368,PG,-0.18,-0.3,0.13,0.5,"1,677,139.00",-1.11,-1.33,0.23
Dalen Terry,2022-23,CHI,214,SG,-0.18,-0.4,0.22,0.3,"974,382.00",-0.56,-0.51,-0.05
Michael Porter Jr.,2022-23,DEN,"1,798",SF,-0.18,1.05,-1.23,2.6,"8,189,296.00",0.82,1.2,-0.38
Bojan Bogdanovic,2022-23,DET,"1,893",PF,-0.18,1.17,-1.35,2.7,"8,621,338.00",-1.28,0.68,-1.95
Quentin Grimes,2022-23,NYK,"2,121",SG,-0.19,-0.28,0.09,3,"9,622,570.00",-0.27,-0.28,0.01
Jarrell Brantley,2022-23,UTA,39,PF,-0.21,-0.08,-0.12,0.1,"175,428.00",-0.32,-0.14,-0.17
Dorian Finney-Smith,2022-23,DAL/BRK,"2,009",PF,-0.21,-0.73,0.52,2.8,"9,030,760.00",-1.02,-0.91,-0.12
Matisse Thybulle,2022-23,PHI/POR,"1,200",SG,-0.21,-2.25,2.04,1.7,"5,390,804.00",-0.98,-2.09,1.11
Jae Crowder,2022-23,MIL,340,SF,-0.22,-0.56,0.34,0.5,"1,518,125.00",-0.36,-0.64,0.28
Jalen McDaniels,2022-23,CHO/PHI,"1,913",SF,-0.22,-0.57,0.34,2.7,"8,539,374.00",-1.74,-2.01,0.27
Tim Hardaway Jr.,2022-23,DAL,"2,152",SG,-0.23,0.43,-0.65,3,"9,607,232.00",-0.17,0.94,-1.12
Braxton Key,2022-23,DET,9,SF,-0.23,-0.14,-0.09,0,"40,563.00",-0.12,-0.13,0.01
Dennis Smith Jr.,2022-23,CHO,"1,390",PG,-0.23,-1.87,1.64,1.9,"6,188,772.00",-1.15,-1.56,0.41
Chris Silva,2022-23,DAL,3,PF,-0.24,0.1,-0.34,0,"13,368.00",-0.18,0.13,-0.3
Xavier Moon,2022-23,LAC,20,SG,-0.25,-0.13,-0.11,0,"86,464.00",-0.26,-0.04,-0.22
Jaylen Nowell,2022-23,MIN,"1,252",SG,-0.27,0.92,-1.19,1.7,"5,476,419.00",-1.31,0.11,-1.42
Jay Scrubb,2022-23,ORL,30,SG,-0.29,-0.32,0.03,0,"130,397.00",-0.12,-0.19,0.07
Isaiah Joe,2022-23,OKC,"1,395",SG,-0.29,0.48,-0.77,1.9,"6,035,516.00",-0.14,0.58,-0.72
Drew Eubanks,2022-23,POR,"1,584",C,-0.29,-1.2,0.9,2.1,"6,846,305.00",-0.28,-1.54,1.27
Frank Jackson,2022-23,UTA,5,PG,-0.29,-0.03,-0.26,0,"21,824.00",-0.26,-0.05,-0.21
Michael Carter-Williams,2022-23,ORL,44,PG,-0.3,-0.21,-0.09,0.1,"191,725.00",-0.06,-0.11,0.05
Kyle Kuzma,2022-23,WAS,"2,239",PF,-0.32,-0.47,0.15,3,"9,551,227.00",-0.35,0.35,-0.7
Omer Yurtseven,2022-23,MIA,83,C,-0.33,-0.48,0.15,0.1,"354,163.00",-0.51,-0.74,0.23
Deonte Burton,2022-23,SAC,6,SG,-0.33,-0.19,-0.14,0,"27,555.00",-0.34,-0.2,-0.13
Derrick Jones Jr.,2022-23,CHI,893,SF,-0.34,-0.5,0.17,1.2,"3,787,692.00",-0.78,-1.26,0.49
Cole Swider,2022-23,LAL,41,SF,-0.34,-0.24,-0.09,0.1,"174,170.00",-0.53,-0.37,-0.16
Trevelin Queen,2022-23,IND,70,SG,-0.35,-0.24,-0.11,0.1,"294,929.00",-0.75,-0.38,-0.37
Alex Len,2022-23,SAC,161,C,-0.35,-1.31,0.96,0.2,"678,543.00",-0.71,-1.29,0.57
Jordan Schakel,2022-23,WAS,6,SF,-0.35,-0.12,-0.23,0,"26,213.00",-0.39,-0.16,-0.23
Blake Griffin,2022-23,BOS,569,C,-0.38,-1.1,0.72,0.7,"2,356,752.00",-0.45,-0.82,0.37
Carlik Jones,2022-23,CHI,56,PG,-0.39,-0.14,-0.25,0.1,"231,293.00",-0.67,-0.3,-0.37
Sterling Brown,2022-23,LAL,24,SG,-0.39,-0.32,-0.07,0,"100,506.00",-0.47,-0.33,-0.14
Jason Preston,2022-23,LAC,124,PG,-0.39,-0.1,-0.29,0.2,"509,839.00",-0.43,-0.21,-0.22
Cameron Payne,2022-23,PHO,968,PG,-0.41,0.29,-0.7,1.2,"3,962,459.00",-0.57,0.2,-0.77
Jaden McDaniels,2022-23,MIN,"2,416",SF,-0.41,-1.63,1.22,3.1,"9,881,959.00",-1.03,-1.46,0.43
Marko Simonovic,2022-23,CHI,20,C,-0.41,-0.12,-0.29,0,"80,056.00",-0.58,-0.19,-0.38
Josh Minott,2022-23,MIN,96,SF,-0.42,-0.25,-0.16,0.1,"391,955.00",-0.62,-0.45,-0.17
Donovan Williams,2022-23,ATL,4,SG,-0.42,-0.15,-0.27,0,"17,288.00",-0.52,-0.25,-0.28
Jalen Suggs,2022-23,ORL,"1,246",PG,-0.42,-0.87,0.45,1.6,"5,058,587.00",-0.63,-0.78,0.15
John Collins,2022-23,ATL,"2,130",PF,-0.42,-0.74,0.31,2.7,"8,644,167.00",0.04,-0.83,0.86
