Stat,League_Average
FTA_100,3.645034014
FT%,0.749670118
ORB_100,2.324761905
DRB_100,6.40462585
TRB_100,8.730068027
STL_100,1.583537415
BLK_100,1.021360544
TOV_100,2.448707483
PTS_100,19.38843537
