Player,Season,Team,Minutes,Position,LEBRON,O LEBRON,D LEBRON,LEBRON WAR,LEBRON Contract Value,Box LEBRON,BOXOLEBRON,BOXDLEBRON
Nikola Jokic,2023-24,DEN,"2,737",C,6.77,5.11,1.66,15.3,"52,869,579.00",6.12,4.73,1.39
Giannis Antetokounmpo,2023-24,MIL,"2,567",PF,6.4,5.42,0.98,13.8,"47,794,885.00",5.25,4.53,0.73
Luka Doncic,2023-24,DAL,"2,624",PG,6.37,6.19,0.18,14.1,"48,712,674.00",5.98,5.99,-0.01
Joel Embiid,2023-24,PHI,"1,309",C,5.65,4.78,0.87,6.5,"22,495,223.00",5.46,4.78,0.68
Shai Gilgeous-Alexander,2023-24,OKC,"2,553",PG,5.26,4.34,0.92,12.1,"41,900,698.00",5.91,4.9,1.01
Anthony Davis,2023-24,LAL,"2,668",C,4.77,2.04,2.72,11.9,"41,190,494.00",4.06,1.97,2.09
Tyrese Haliburton,2023-24,IND,"2,224",PG,3.91,4.99,-1.08,8.8,"30,474,002.00",4.25,5.04,-0.79
Kyrie Irving,2023-24,DAL,"2,030",SG,3.81,3.91,-0.11,7.9,"27,367,956.00",2.7,3.15,-0.45
Jayson Tatum,2023-24,BOS,"2,645",PF,3.66,3.35,0.31,10.1,"34,886,768.00",5.02,4.26,0.76
Donovan Mitchell,2023-24,CLE,"1,943",SG,3.61,3.4,0.21,7.3,"25,395,240.00",3.46,3.18,0.27
Kawhi Leonard,2023-24,LAC,"2,330",SF,3.53,2.75,0.78,8.7,"30,058,129.00",2.92,2.65,0.27
James Harden,2023-24,LAC,"2,470",PG,3.48,3.13,0.35,9.1,"31,622,615.00",3.23,2.77,0.46
Jalen Brunson,2023-24,NYK,"2,726",PG,3.41,4.35,-0.94,10,"34,531,518.00",3.18,3.89,-0.71
Domantas Sabonis,2023-24,SAC,"2,928",C,3.4,1.74,1.66,10.7,"36,996,026.00",3.18,2.03,1.16
Victor Wembanyama,2023-24,SAS,"2,106",C,3.38,0.56,2.82,7.7,"26,537,006.00",3.71,0.71,3
Jonathan Isaac,2023-24,ORL,914,PF,3.3,0.37,2.93,3.3,"11,363,587.00",2.33,-0.13,2.46
Devin Booker,2023-24,PHO,"2,447",PG,3.14,3.88,-0.75,8.5,"29,569,967.00",2.56,3.39,-0.83
De'Aaron Fox,2023-24,SAC,"2,659",PG,3.05,2.64,0.41,9.1,"31,657,312.00",2.72,2.62,0.1
LeBron James,2023-24,LAL,"2,466",PF,3.03,3.28,-0.24,8.5,"29,263,431.00",2.94,2.98,-0.05
Jusuf Nurkic,2023-24,PHO,"2,078",C,2.94,0.66,2.29,7,"24,265,851.00",2.26,0.06,2.19
Kevin Love,2023-24,MIA,924,PF,2.85,2.04,0.81,3.1,"10,603,118.00",2.23,1.57,0.66
Kristaps Porzingis,2023-24,BOS,"1,690",C,2.79,1.78,1.01,5.5,"19,185,462.00",4.06,2.45,1.61
Lauri Markkanen,2023-24,UTA,"1,820",PF,2.73,2.91,-0.18,5.9,"20,418,651.00",1.73,2.77,-1.04
Rudy Gobert,2023-24,MIN,"2,593",C,2.69,-0.21,2.9,8.4,"28,903,837.00",3.03,-0.31,3.34
Jimmy Butler,2023-24,MIA,"2,042",PF,2.65,2.07,0.58,6.5,"22,590,910.00",2.6,2.18,0.42
Stephen Curry,2023-24,GSW,"2,421",PG,2.64,3.78,-1.14,7.7,"26,709,707.00",2.75,3.79,-1.04
Franz Wagner,2023-24,ORL,"2,337",SF,2.63,1.51,1.11,7.4,"25,730,083.00",1.59,1.02,0.57
Chet Holmgren,2023-24,OKC,"2,413",C,2.5,0.44,2.06,7.5,"25,922,467.00",3.65,1.28,2.37
Derrick White,2023-24,BOS,"2,381",SG,2.47,1.35,1.11,7.3,"25,412,392.00",3.36,2.07,1.28
Damian Lillard,2023-24,MIL,"2,579",PG,2.46,3.32,-0.87,7.9,"27,448,361.00",2.66,3.48,-0.82
Kevin Durant,2023-24,PHO,"2,791",PF,2.46,2.59,-0.13,8.6,"29,750,849.00",2.26,2.08,0.17
Jarrett Allen,2023-24,CLE,"2,442",C,2.44,1.04,1.4,7.5,"25,887,953.00",2.32,0.84,1.49
Paul George,2023-24,LAC,"2,502",PF,2.43,2,0.43,7.7,"26,507,655.00",2.35,2.31,0.04
Myles Turner,2023-24,IND,"2,077",C,2.4,1.08,1.32,6.3,"21,842,767.00",2.38,1.54,0.84
Bam Adebayo,2023-24,MIA,"2,416",C,2.27,-0.34,2.61,7.2,"24,755,658.00",2.16,0.23,1.94
LaMelo Ball,2023-24,CHO,711,PG,2.24,3.06,-0.82,2.1,"7,238,640.00",1.83,2.63,-0.8
Fred VanVleet,2023-24,HOU,"2,684",PG,2.1,1.3,0.8,7.7,"26,513,332.00",2.31,1.67,0.64
Draymond Green,2023-24,GSW,"1,490",PF,1.97,-0.78,2.75,4.1,"14,311,808.00",1.35,-0.65,2
Tyrese Maxey,2023-24,PHI,"2,626",PG,1.9,3.27,-1.37,7.2,"24,848,945.00",2.16,2.93,-0.77
Isaiah Hartenstein,2023-24,NYK,"1,896",C,1.74,-0.54,2.29,5,"17,292,195.00",1.64,-0.69,2.34
Andre Drummond,2023-24,CHI,"1,351",C,1.73,0.6,1.13,3.6,"12,284,030.00",1.72,0.35,1.37
Evan Mobley,2023-24,CLE,"1,532",PF,1.7,-0.19,1.89,4,"13,816,253.00",2.2,0.13,2.07
Payton Pritchard,2023-24,BOS,"1,826",PG,1.68,2.06,-0.38,4.7,"16,387,704.00",0.81,1.71,-0.9
Anthony Edwards,2023-24,MIN,"2,770",SG,1.62,1.62,0.01,7.1,"24,536,297.00",2.84,2.3,0.54
Daniel Gafford,2023-24,WAS/DAL,"1,814",C,1.6,-0.44,2.04,4.6,"15,982,540.00",1.62,-0.6,2.22
Ja Morant,2023-24,MEM,318,PG,1.6,1.75,-0.15,0.8,"2,800,864.00",1.63,1.78,-0.15
Pascal Siakam,2023-24,TOR/IND,"2,658",PF,1.6,1.57,0.03,6.8,"23,439,366.00",0.59,1.57,-0.97
Trayce Jackson-Davis,2023-24,GSW,"1,130",PF,1.54,0.34,1.2,2.8,"9,821,085.00",1.55,0.1,1.44
Trae Young,2023-24,ATL,"1,942",PG,1.53,3.3,-1.77,4.9,"16,802,075.00",1.74,3.19,-1.46
Nic Claxton,2023-24,BRK,"2,116",C,1.52,-0.8,2.32,5.3,"18,283,633.00",1.3,-1.09,2.39
Amen Thompson,2023-24,HOU,"1,388",SF,1.5,0.41,1.1,3.5,"11,939,111.00",0.62,-0.24,0.85
Goga Bitadze,2023-24,ORL,957,C,1.4,-0.71,2.11,2.3,"8,010,346.00",1.47,-0.99,2.47
Mark Williams,2023-24,CHO,508,C,1.37,0.31,1.06,1.2,"4,221,740.00",1.18,0.08,1.1
Jakob Poeltl,2023-24,TOR,"1,319",C,1.36,-0.82,2.18,3.2,"10,927,346.00",0.16,-1.09,1.26
Jonas Valanciunas,2023-24,NOP,"1,918",C,1.34,0.71,0.63,4.6,"15,826,867.00",2.11,0.58,1.53
Scottie Barnes,2023-24,TOR,"2,094",SG,1.32,0.93,0.38,5,"17,171,089.00",0.67,0.84,-0.17
Mike Conley,2023-24,MIN,"2,193",PG,1.3,1.04,0.26,5.2,"17,898,111.00",2.12,1.29,0.83
DeMar DeRozan,2023-24,CHI,"2,989",SF,1.29,1.65,-0.36,7,"24,339,937.00",1.29,1.67,-0.38
Clint Capela,2023-24,ATL,"1,883",C,1.27,0.13,1.14,4.4,"15,253,087.00",1.06,0.14,0.91
Aaron Gordon,2023-24,DEN,"2,297",PF,1.26,0.82,0.44,5.4,"18,528,917.00",0.72,0.51,0.21
Jamal Murray,2023-24,DEN,"1,861",PG,1.25,2.09,-0.85,4.3,"14,968,642.00",2.23,2.6,-0.37
Donte DiVincenzo,2023-24,NYK,"2,360",SG,1.19,1.02,0.17,5.4,"18,689,688.00",1.72,1.41,0.31
Trey Murphy III,2023-24,NOP,"1,659",SF,1.15,1.13,0.02,3.8,"12,994,153.00",1.34,1.44,-0.09
Ben Simmons,2023-24,BRK,359,PG,1.11,-0.53,1.64,0.8,"2,780,148.00",0.81,-0.74,1.55
CJ McCollum,2023-24,NOP,"2,125",PG,1.1,1.42,-0.32,4.7,"16,416,378.00",1.99,1.99,-0.01
Keegan Murray,2023-24,SAC,"2,589",SF,1.04,0.08,0.95,5.7,"19,649,962.00",0.61,0.07,0.54
Alperen Sengun,2023-24,HOU,"2,046",C,1.02,0.77,0.25,4.5,"15,465,082.00",2.03,1.47,0.56
Zion Williamson,2023-24,NOP,"2,173",PF,1.02,1.43,-0.4,4.7,"16,435,048.00",1.99,1.8,0.19
Collin Sexton,2023-24,UTA,"2,075",SG,0.99,2.73,-1.74,4.5,"15,517,445.00",-0.01,2.15,-2.17
Jalen Smith,2023-24,IND,"1,047",C,0.96,1.23,-0.27,2.2,"7,778,999.00",0.53,1.12,-0.59
Paolo Banchero,2023-24,ORL,"2,799",PF,0.95,0.63,0.32,6,"20,700,798.00",1.78,1.01,0.77
Paul Reed,2023-24,PHI,"1,590",C,0.95,-0.47,1.42,3.4,"11,754,424.00",0.22,-1.01,1.23
Luke Kornet,2023-24,BOS,983,C,0.94,0.01,0.94,2.1,"7,266,352.00",0.51,-0.32,0.83
Tobias Harris,2023-24,PHI,"2,368",PF,0.94,0.78,0.16,5.1,"17,476,309.00",0.85,0.44,0.41
De'Anthony Melton,2023-24,PHI,"1,023",SG,0.91,0.36,0.56,2.2,"7,490,751.00",0.5,0.05,0.45
Jaylen Brown,2023-24,BOS,"2,343",SF,0.91,1.04,-0.13,5,"17,147,922.00",2.41,2.25,0.16
Brook Lopez,2023-24,MIL,"2,411",C,0.89,-0.34,1.23,5.1,"17,538,053.00",1.35,-0.18,1.53
Isaiah Jackson,2023-24,IND,771,C,0.89,-0.55,1.44,1.6,"5,600,646.00",1.2,-0.17,1.37
Neemias Queta,2023-24,BOS,333,C,0.88,0.27,0.61,0.7,"2,414,793.00",0.33,-0.25,0.58
Wendell Carter Jr.,2023-24,ORL,"1,406",C,0.88,-0.48,1.36,2.9,"10,191,181.00",0.74,-0.15,0.89
Dereck Lively II,2023-24,DAL,"1,294",C,0.87,-0.58,1.45,2.7,"9,347,079.00",0.71,-0.96,1.67
Sam Hauser,2023-24,BOS,"1,741",SF,0.87,0.94,-0.07,3.6,"12,589,314.00",0.33,0.61,-0.29
Ivica Zubac,2023-24,LAC,"1,795",C,0.86,-0.53,1.4,3.7,"12,944,375.00",1.01,-0.15,1.16
Michael Porter Jr.,2023-24,DEN,"2,565",SF,0.86,1.46,-0.6,5.3,"18,463,783.00",0.9,0.69,0.21
Sandro Mamukelashvili,2023-24,SAS,451,C,0.8,0.13,0.67,0.9,"3,188,461.00",0.26,0.09,0.16
Alex Caruso,2023-24,CHI,"2,040",SG,0.77,-1.12,1.89,4.1,"14,305,656.00",0.69,-0.6,1.29
Immanuel Quickley,2023-24,NYK/TOR,"1,985",PG,0.77,1.15,-0.38,4,"13,929,383.00",0.27,1.17,-0.89
Cameron Johnson,2023-24,BRK,"1,599",PF,0.73,0.99,-0.26,3.2,"11,079,608.00",-0.13,0.23,-0.36
Alex Len,2023-24,SAC,444,C,0.71,-1.81,2.52,0.9,"3,055,208.00",0.2,-1.95,2.15
Jalen Suggs,2023-24,ORL,"2,025",SG,0.71,-0.84,1.55,4,"13,945,797.00",0.97,-0.37,1.34
Jaren Jackson Jr.,2023-24,MEM,"2,124",C,0.71,-0.22,0.93,4.2,"14,630,059.00",-0.19,-0.74,0.55
Karl-Anthony Towns,2023-24,MIN,"2,026",PF,0.7,0.65,0.05,4,"13,879,469.00",1.59,0.96,0.63
