Player,Season,Team,Minutes,Position,LEBRON,O LEBRON,D LEBRON,LEBRON WAR,LEBRON Contract Value,Box LEBRON,BOXOLEBRON,BOXDLEBRON
T.J. McConnell,2023-24,IND,"1,291",PG,0.69,1.3,-0.61,2.5,"8,816,623.00",0.85,1.78,-0.93
Caris LeVert,2023-24,CLE,"1,958",SG,0.65,0.67,-0.02,3.8,"13,225,765.00",0.72,0.47,0.24
Josh Hart,2023-24,NYK,"2,707",SF,0.65,-0.44,1.09,5.3,"18,241,751.00",0.3,-0.93,1.23
Nikola Vucevic,2023-24,CHI,"2,610",C,0.64,0.63,0.01,5.1,"17,574,301.00",0.46,0.44,0.02
Day'Ron Sharpe,2023-24,BRK,921,C,0.61,0.02,0.59,1.8,"6,130,056.00",0.32,-0.4,0.72
Khris Middleton,2023-24,MIL,"1,487",SF,0.6,1.21,-0.61,2.9,"9,872,454.00",1.1,1.2,-0.1
Malik Monk,2023-24,SAC,"1,872",SG,0.6,1.15,-0.56,3.6,"12,425,421.00",0.39,1.11,-0.71
Julius Randle,2023-24,NYK,"1,630",PF,0.59,1.11,-0.52,3.1,"10,789,341.00",1.14,1.5,-0.36
Jordan McLaughlin,2023-24,MIN,626,PG,0.58,-0.09,0.67,1.2,"4,132,108.00",-0.08,0.03,-0.11
Grayson Allen,2023-24,PHO,"2,513",SG,0.57,0.79,-0.22,4.8,"16,546,968.00",0.43,0.2,0.23
Jalen Williams,2023-24,OKC,"2,223",PF,0.54,0.47,0.06,4.2,"14,459,796.00",1.69,1.36,0.33
Jrue Holiday,2023-24,BOS,"2,263",PG,0.53,0.01,0.52,4.2,"14,671,440.00",1.64,0.75,0.9
Dyson Daniels,2023-24,NOP,"1,341",PG,0.52,-0.69,1.21,2.5,"8,679,503.00",-0.16,-1.26,1.1
Herbert Jones,2023-24,NOP,"2,289",SF,0.52,-0.74,1.26,4.3,"14,814,971.00",0.59,-0.81,1.4
Dejounte Murray,2023-24,ATL,"2,783",SG,0.51,1.68,-1.17,5.2,"17,942,739.00",0.8,1.78,-0.97
Thomas Bryant,2023-24,MIA,441,C,0.5,-0.51,1.01,0.8,"2,835,581.00",0.49,-0.43,0.92
Desmond Bane,2023-24,MEM,"1,443",SG,0.48,1.32,-0.84,2.7,"9,189,641.00",-0.07,0.77,-0.84
Jaylin Williams,2023-24,OKC,897,C,0.48,-0.46,0.93,1.7,"5,718,273.00",0.28,-0.58,0.86
Chris Paul,2023-24,GSW,"1,531",PG,0.46,0.35,0.12,2.8,"9,703,813.00",1.37,0.73,0.64
Delon Wright,2023-24,WAS/MIA,742,PG,0.44,-0.56,1,1.3,"4,665,232.00",0.01,-0.54,0.55
Kevin Huerter,2023-24,SAC,"1,562",SG,0.39,-0.26,0.65,2.8,"9,654,939.00",0.3,0,0.3
Max Strus,2023-24,CLE,"2,239",SF,0.38,-0.01,0.38,4,"13,774,464.00",0.38,-0.16,0.54
John Collins,2023-24,UTA,"1,901",PF,0.37,0.23,0.15,3.4,"11,677,256.00",0.11,0.13,-0.01
Klay Thompson,2023-24,GSW,"2,286",SF,0.35,1.16,-0.81,4,"13,944,121.00",0.36,1.16,-0.8
Moritz Wagner,2023-24,ORL,"1,415",C,0.35,0.7,-0.35,2.5,"8,617,485.00",0.31,0.5,-0.19
Walker Kessler,2023-24,UTA,"1,493",C,0.33,-1.46,1.79,2.6,"9,042,376.00",0.57,-1.54,2.1
Dario Saric,2023-24,GSW,"1,098",C,0.32,0.34,-0.02,1.9,"6,616,062.00",0.27,0.35,-0.08
Nikola Jovic,2023-24,MIA,896,PF,0.32,-0.96,1.28,1.6,"5,412,209.00",0.34,-0.68,1.02
Jontay Porter,2023-24,TOR,360,PF,0.31,-0.92,1.24,0.6,"2,164,647.00",0.72,-0.44,1.16
Cam Whitmore,2023-24,HOU,880,SF,0.3,1.17,-0.86,1.5,"5,276,388.00",-0.22,0.72,-0.94
Mitchell Robinson,2023-24,NYK,768,C,0.28,-1.23,1.51,1.3,"4,566,514.00",-0.24,-1.48,1.25
Bogdan Bogdanovic,2023-24,ATL,"2,407",SG,0.27,1.11,-0.84,4.1,"14,268,856.00",-0.39,0.89,-1.28
Brandon Ingram,2023-24,NOP,"2,079",SF,0.26,0.83,-0.58,3.5,"12,252,075.00",1.51,1.39,0.12
Ryan Rollins,2023-24,WAS/MIL,78,PG,0.26,-0.08,0.34,0.1,"459,921.00",-0.22,-0.2,-0.01
Jalen Johnson,2023-24,ATL,"1,884",SF,0.23,-0.42,0.66,3.2,"11,010,157.00",0.62,-0.27,0.88
Kris Dunn,2023-24,UTA,"1,249",PG,0.22,-0.54,0.76,2.1,"7,266,974.00",-0.57,-1.13,0.56
Javonte Green,2023-24,CHI,230,SF,0.21,-0.54,0.75,0.4,"1,335,650.00",-0.05,-0.57,0.51
Brandin Podziemski,2023-24,GSW,"1,968",SG,0.2,0.09,0.11,3.3,"11,353,892.00",-0.16,-0.25,0.1
Cole Anthony,2023-24,ORL,"1,817",PG,0.2,0.14,0.06,3,"10,502,011.00",0.34,-0.04,0.38
Dean Wade,2023-24,CLE,"1,108",PF,0.18,-1.29,1.47,1.8,"6,332,443.00",-0.36,-1.59,1.23
Darius Garland,2023-24,CLE,"1,901",PG,0.17,0.69,-0.52,3.1,"10,830,365.00",0.35,0.82,-0.47
Mo Bamba,2023-24,PHI,740,C,0.14,-1.59,1.73,1.2,"4,177,867.00",0.28,-1.66,1.94
Tari Eason,2023-24,HOU,480,PF,0.14,-0.64,0.78,0.8,"2,706,465.00",0.33,-0.74,1.07
Keon Ellis,2023-24,SAC,978,SG,0.1,-0.9,1,1.6,"5,433,222.00",-0.2,-1.3,1.09
Moses Brown,2023-24,POR,200,C,0.1,-0.47,0.57,0.3,"1,111,888.00",-0.15,-0.63,0.49
Malcolm Brogdon,2023-24,POR,"1,121",PG,0.09,1.18,-1.09,1.8,"6,194,156.00",-0.18,0.83,-1.01
Kevon Looney,2023-24,GSW,"1,195",C,0.08,-0.87,0.95,1.9,"6,580,014.00",0.2,-1.01,1.21
Charles Bassey,2023-24,SAS,205,C,0.07,-1.39,1.46,0.3,"1,126,697.00",0.2,-1.29,1.49
Jordan Goodwin,2023-24,PHO/MEM,"1,056",PG,0.07,0.18,-0.11,1.7,"5,789,443.00",-0.44,-0.36,-0.07
Jason Preston,2023-24,UTA,71,PG,0.05,-0.16,0.22,0.1,"387,892.00",-0.07,-0.18,0.11
Royce O'Neale,2023-24,BRK/PHO,"1,954",SF,0.05,-0.46,0.51,3.1,"10,639,482.00",-0.61,-0.94,0.33
Sam Merrill,2023-24,CLE,"1,069",SG,0.05,1.37,-1.32,1.7,"5,814,629.00",0.06,1.26,-1.2
Tyler Herro,2023-24,MIA,"1,407",SG,0.05,0.72,-0.67,2.2,"7,657,802.00",0.45,0.94,-0.49
Terry Rozier,2023-24,CHO/MIA,"2,040",PG,0.04,0.42,-0.38,3.2,"11,056,749.00",0.85,1.4,-0.54
Mikal Bridges,2023-24,BRK,"2,857",SF,0.03,0.84,-0.81,4.5,"15,412,703.00",-0.53,0.31,-0.84
Malcolm Cazalon,2023-24,DET,3,SG,0.02,-0.11,0.13,0,"13,892.00",-0.02,-0.12,0.1
Xavier Tillman,2023-24,MEM/BOS,975,C,0.02,-1.46,1.48,1.5,"5,250,137.00",-0.77,-1.86,1.09
Kentavious Caldwell-Pope,2023-24,DEN,"2,402",SG,0.01,-0.79,0.8,3.7,"12,856,675.00",-0.4,-1.16,0.76
D'Angelo Russell,2023-24,LAL,"2,446",PG,0,1.01,-1.02,3.8,"13,031,219.00",0.61,1.25,-0.64
Josh Minott,2023-24,MIN,91,SF,-1,-0.45,-0.54,0.1,"289,259.00",-1.13,-0.43,-0.71
Al Horford,2023-24,BOS,"1,740",C,-0.02,-0.86,0.84,2.7,"9,207,761.00",1.26,0.07,1.19
Monte Morris,2023-24,DET/MIN,476,PG,-0.02,0.06,-0.08,0.7,"2,519,005.00",-0.35,-0.17,-0.19
Austin Reaves,2023-24,LAL,"2,600",SG,-0.03,0.67,-0.7,4,"13,700,748.00",-0.07,0.57,-0.64
Dennis Smith Jr.,2023-24,BRK,"1,059",PG,-0.09,-0.61,0.52,1.6,"5,443,644.00",-0.38,-0.82,0.44
Russell Westbrook,2023-24,LAC,"1,529",PG,-0.09,0.57,-0.66,2.3,"7,861,738.00",-0.01,0.39,-0.39
Ausar Thompson,2023-24,DET,"1,583",SF,-0.11,-1.39,1.28,2.3,"8,072,130.00",-1.41,-2.03,0.61
Kyle Anderson,2023-24,MIN,"1,782",PF,-0.11,-1.37,1.25,2.6,"9,069,164.00",-0.04,-1.17,1.13
Marvin Bagley III,2023-24,DET/WAS,"1,053",C,-0.11,-0.18,0.07,1.6,"5,372,942.00",-0.62,-0.19,-0.43
JaVale McGee,2023-24,SAC,339,C,-0.14,-1.29,1.15,0.5,"1,705,906.00",0.39,-0.99,1.38
Anfernee Simons,2023-24,POR,"1,582",SG,-0.15,1.67,-1.82,2.3,"7,925,791.00",-0.88,0.99,-1.87
Bradley Beal,2023-24,PHO,"1,767",SG,-0.15,0.29,-0.45,2.6,"8,836,692.00",0.07,0.54,-0.47
Justin Champagnie,2023-24,WAS,235,SF,-0.15,-0.04,-0.11,0.3,"1,175,868.00",-0.27,-0.29,0.01
Kelly Olynyk,2023-24,UTA/TOR,"1,759",C,-0.15,0.06,-0.21,2.5,"8,823,233.00",0.12,-0.18,0.3
Bobby Portis,2023-24,MIL,"2,008",PF,-0.16,-0.01,-0.14,2.9,"10,025,432.00",0.3,0.25,0.05
Hamidou Diallo,2023-24,WAS,5,SG,-0.17,-0.04,-0.13,0,"23,629.00",-0.23,-0.07,-0.16
Saben Lee,2023-24,PHO,185,PG,-0.17,0.17,-0.34,0.3,"917,403.00",-0.45,-0.04,-0.41
Zach LaVine,2023-24,CHI,872,SG,-0.17,0.27,-0.45,1.2,"4,320,588.00",0.21,0.5,-0.29
Dalen Terry,2023-24,CHI,681,SG,-0.18,-0.97,0.79,1,"3,367,646.00",-0.94,-1.59,0.65
Dominick Barlow,2023-24,SAS,420,PF,-0.18,-0.67,0.48,0.6,"2,070,021.00",-0.3,-0.92,0.62
Eugene Omoruyi,2023-24,WAS,393,SF,-0.18,-0.33,0.15,0.6,"1,947,664.00",-0.66,-0.32,-0.34
Talen Horton-Tucker,2023-24,UTA,"1,009",PG,-0.18,0.42,-0.6,1.4,"4,979,480.00",-0.01,0.54,-0.55
Chris Boucher,2023-24,TOR,705,PF,-0.2,-0.17,-0.02,1,"3,460,895.00",-0.59,-0.63,0.04
Taze Moore,2023-24,POR,40,SG,-0.2,-0.27,0.08,0.1,"197,898.00",-0.19,-0.3,0.11
Jose Alvarado,2023-24,NOP,"1,007",PG,-0.21,-0.3,0.09,1.4,"4,919,222.00",-0.05,-0.22,0.16
DeJon Jarreau,2023-24,MEM,150,SG,-0.22,-0.69,0.47,0.2,"725,662.00",-0.65,-0.98,0.33
Mason Jones,2023-24,SAC,28,SG,-0.22,-0.33,0.11,0,"134,300.00",-0.28,-0.28,0
Tristan Vukcevic,2023-24,WAS,153,C,-0.22,-0.32,0.1,0.2,"746,116.00",-0.19,-0.39,0.2
Kevon Harris,2023-24,ORL,6,SG,-0.23,-0.02,-0.2,0,"29,305.00",-0.19,-0.01,-0.18
Jordan Ford,2023-24,SAC,22,PG,-0.24,-0.32,0.08,0,"105,071.00",-0.33,-0.32,-0.01
Kenneth Lofton Jr.,2023-24,MEM/PHI/UTA,198,PF,-0.24,-0.23,-0.01,0.3,"953,385.00",-0.08,-0.14,0.06
Cade Cunningham,2023-24,DET,"2,074",PG,-0.25,0.76,-1.02,2.9,"9,916,558.00",-0.95,0.61,-1.56
Spencer Dinwiddie,2023-24,BRK/LAL,"2,139",PG,-0.25,0.4,-0.64,3,"10,261,751.00",-0.42,-0.11,-0.31
Gary Payton II,2023-24,GSW,680,SG,-0.26,-1.22,0.96,0.9,"3,233,934.00",-0.89,-1.59,0.7
Jonathan Kuminga,2023-24,GSW,"1,950",PF,-0.27,-0.16,-0.12,2.7,"9,247,172.00",0.26,0.38,-0.12
Moses Moody,2023-24,GSW,"1,154",SG,-0.27,-0.26,0,1.6,"5,481,044.00",-0.49,-0.41,-0.09
Josh Giddey,2023-24,OKC,"2,012",SG,-0.28,-0.11,-0.17,2.7,"9,507,583.00",1.28,0.89,0.39
RaiQuan Gray,2023-24,SAS,39,PF,-0.28,-0.18,-0.1,0.1,"184,265.00",-0.23,-0.23,0
Andrew Funk,2023-24,CHI,13,SG,-0.29,-0.2,-0.08,0,"63,128.00",-0.33,-0.21,-0.13
Gui Santos,2023-24,GSW,192,PF,-0.29,-0.27,-0.01,0.3,"905,145.00",-0.42,-0.4,-0.02
Jared Butler,2023-24,WAS,566,SG,-0.29,-0.23,-0.06,0.8,"2,653,891.00",-0.86,-0.41,-0.45
P.J. Washington,2023-24,CHO/DAL,"2,221",PF,-0.29,-0.6,0.31,3,"10,454,964.00",-0.87,-0.9,0.03
Bol Bol,2023-24,PHO,469,PF,-0.31,-0.78,0.47,0.6,"2,184,241.00",-0.09,-0.9,0.81
Henri Drell,2023-24,CHI,30,SF,-0.31,-0.21,-0.09,0,"139,673.00",-0.36,-0.25,-0.11
Pat Spencer,2023-24,GSW,26,PG,-0.31,-0.35,0.04,0,"119,371.00",-0.32,-0.32,-0.01
Dexter Dennis,2023-24,DAL,30,SG,-0.32,-0.06,-0.26,0,"138,518.00",-0.34,-0.07,-0.27
Frank Ntilikina,2023-24,CHO,43,PG,-0.32,-0.37,0.05,0.1,"199,287.00",-0.35,-0.47,0.12
RJ Barrett,2023-24,NYK/TOR,"1,838",SG,-0.32,0.2,-0.52,2.5,"8,521,314.00",-0.55,0.23,-0.78
Usman Garuba,2023-24,GSW,18,PF,-0.33,-0.38,0.06,0,"82,231.00",-0.26,-0.3,0.05
Adama Sanogo,2023-24,CHI,66,PF,-0.34,-0.19,-0.15,0.1,"301,904.00",-0.57,-0.28,-0.29
Kyle Lowry,2023-24,MIA/PHI,"1,690",PG,-0.34,-1.18,0.84,2.2,"7,756,030.00",-0.42,-0.97,0.55
Onyeka Okongwu,2023-24,ATL,"1,405",C,-0.34,-0.58,0.25,1.9,"6,468,305.00",-0.78,-1.07,0.29
Buddy Hield,2023-24,IND/PHI,"2,160",SG,-0.35,0.29,-0.64,2.9,"9,870,519.00",-0.53,0.55,-1.08
Patrick Baldwin Jr.,2023-24,WAS,494,SF,-0.35,-1.1,0.75,0.7,"2,256,138.00",-0.69,-1.36,0.67
Ish Wainright,2023-24,POR/PHO,62,SF,-0.36,-0.51,0.15,0.1,"283,815.00",-0.34,-0.33,-0.01
Jett Howard,2023-24,ORL,67,SF,-0.36,-0.23,-0.14,0.1,"302,131.00",-0.32,-0.07,-0.25
Mamadi Diakite,2023-24,SAS/NYK,24,PF,-0.36,-0.35,0,0,"111,322.00",-0.38,-0.33,-0.06
Robert Covington,2023-24,LAC/PHI,488,SF,-0.36,-1.5,1.14,0.6,"2,226,633.00",-0.41,-1.49,1.07
Isaac Okoro,2023-24,CLE,"1,887",SF,-0.37,-0.61,0.23,2.5,"8,536,461.00",-0.91,-1.2,0.29
David Duke Jr.,2023-24,SAS,51,SG,-0.38,-0.38,0,0.1,"231,533.00",-0.39,-0.4,0.01
James Bouknight,2023-24,CHO,81,SG,-0.38,-0.36,-0.03,0.1,"364,131.00",-0.33,-0.24,-0.09
Jamaree Bouyea,2023-24,POR/SAS,95,PG,-0.39,-0.64,0.25,0.1,"425,269.00",-0.4,-0.5,0.1
Kelly Oubre Jr.,2023-24,PHI,"2,055",SF,-0.39,-0.17,-0.22,2.7,"9,239,450.00",-0.3,-0.31,0.01
Richaun Holmes,2023-24,DAL/WAS,554,C,-0.39,-0.82,0.43,0.7,"2,490,794.00",-0.84,-1.17,0.33
Robert Williams III,2023-24,POR,119,C,-0.39,-1.07,0.68,0.2,"532,368.00",-0.33,-1.12,0.79
Ricky Council IV,2023-24,PHI,289,SG,-0.4,0.48,-0.87,0.4,"1,290,325.00",-0.69,0.4,-1.09
