Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NetRtg,ORtg,DRtg,Player-additional
483,Jonas Valan?i?nas,C,30,NOP,79,79,1968,11,20.1,0.547,0.9,2.7,0.349,10,17.4,0.577,4.6,5.5,0.826,5.5,14.3,19.8,3.4,0.5,1.3,3.9,6,27.5,6,116,110,valanjo01
484,Jarred Vanderbilt,PF,23,TOT,78,65,1879,6.3,11.4,0.548,0.7,2.3,0.322,5.5,9.2,0.604,2.4,3.5,0.691,4.3,10.4,14.8,4.7,2.1,0.5,2.5,4.8,15.7,11,123,112,vandeja01
484,Jarred Vanderbilt,PF,23,UTA,52,41,1254,6.6,11.8,0.556,0.7,2.2,0.333,5.9,9.7,0.606,2.6,3.9,0.657,4.6,11,15.6,5.4,2,0.6,2.6,5.1,16.5,11,124,113,vandeja01
484,Jarred Vanderbilt,PF,23,LAL,26,24,625,5.6,10.6,0.529,0.8,2.5,0.303,4.9,8.1,0.598,2.2,2.8,0.784,3.7,9.4,13.1,3.2,2.3,0.5,2.2,4.3,14.2,8,119,111,vandeja01
485,Fred VanVleet,PG,28,TOR,69,69,2535,8.5,21.7,0.393,4,11.8,0.342,4.5,9.9,0.455,5,5.5,0.898,0.6,4.9,5.5,9.7,2.4,0.7,2.7,3.8,26,3,117,114,vanvlfr01
486,Devin Vassell,SG,22,SAS,38,32,1178,10.5,23.9,0.439,4.1,10.7,0.387,6.3,13.2,0.48,3.1,4,0.78,0.3,5.6,5.9,5.5,1.7,0.7,2.3,2.3,28.2,-10,110,120,vassede01
487,Gabe Vincent,PG,26,MIA,68,34,1759,6.5,16.1,0.402,3.3,9.9,0.334,3.1,6.2,0.512,1.9,2.2,0.872,0.8,3.3,4.1,4.7,1.8,0.1,2.6,4.4,18.2,-11,104,115,vincega01
488,Noah Vonleh,C,27,BOS,23,1,171,3.1,6.8,0.458,0.3,1.1,0.25,2.9,5.7,0.5,0.6,0.6,1,5.1,8.6,13.7,2,0.6,2.3,3.1,10,7.1,-9,101,110,vonleno01
489,Nikola Vu?evi?,C,32,CHI,82,82,2746,10.6,20.4,0.52,2.1,6.2,0.349,8.4,14.2,0.594,2.3,2.8,0.835,2.8,13.2,16,4.7,1.1,1,2.5,3.2,25.7,7,117,110,vucevni01
490,Dean Wade,PF,26,CLE,44,13,891,4.1,10,0.412,2.5,7.1,0.354,1.6,2.8,0.56,0.8,1.3,0.652,1.1,7.3,8.4,2.1,1.6,1.2,1,5,11.6,3,113,110,wadede01
491,Franz Wagner,SF,21,ORL,80,80,2609,10,20.7,0.485,2.4,6.7,0.361,7.6,14,0.544,5,6,0.842,1.3,4.8,6.1,5.2,1.4,0.3,3.1,3.4,27.5,-1,115,116,wagnefr01
492,Moritz Wagner,C,25,ORL,57,18,1109,8.6,17.3,0.5,2.2,7.1,0.313,6.4,10.2,0.631,6.7,7.9,0.841,3,8.3,11.3,3.7,1.6,0.6,3,5.9,26.1,8,122,114,wagnemo01
493,Ish Wainright,SF,28,PHO,60,2,915,4.5,12.1,0.37,3,9.2,0.329,1.4,2.9,0.5,1.4,1.7,0.839,2.4,5,7.4,2.8,2,1.2,1.2,6.2,13.4,1,114,113,wainris01
494,Jabari Walker,SF,20,POR,56,0,619,6.5,15.6,0.419,1.3,4.4,0.286,5.3,11.2,0.472,2.7,3.5,0.756,3.8,6.5,10.3,2.7,0.8,1,2.3,5.4,17,-16,104,120,walkeja01
495,Kemba Walker,PG,32,DAL,9,1,144,8.3,19.7,0.421,2.4,9.7,0.25,5.9,10,0.586,5.9,7.2,0.81,1,4.5,5.5,6.6,0.7,0.7,1.4,3.8,24.9,-1,118,119,walkeke02
496,Lonnie Walker IV,SG,24,LAL,56,32,1297,8.6,19.3,0.448,3.3,9.1,0.365,5.3,10.2,0.522,3.3,3.9,0.858,0.5,3.5,4,2.3,1.1,0.6,1.7,2.6,23.9,-6,111,117,walkelo01
497,John Wall,PG,32,LAC,34,3,755,9,21.9,0.408,2.1,7.1,0.303,6.8,14.9,0.459,5,7.3,0.681,0.9,5.1,6,11.5,1.8,0.8,5.2,3.8,25,-13,102,115,walljo01
498,T.J. Warren,PF-SF,29,TOT,42,0,687,9.4,19.2,0.489,1.6,4.8,0.328,7.8,14.4,0.542,2,2.5,0.8,1.8,6.8,8.6,2.8,1.6,0.9,1.4,4.6,22.3,-3,111,114,warretj01
498,T.J. Warren,PF,29,BRK,26,0,490,10.2,19.9,0.51,1.6,4.8,0.333,8.6,15.1,0.566,2.7,3.3,0.818,1.3,5.9,7.2,2.9,1.5,0.7,1.7,4.5,24.6,-3,112,115,warretj01
498,T.J. Warren,SF,29,PHO,16,0,197,7.4,17.4,0.429,1.5,4.7,0.316,6,12.7,0.471,0.2,0.5,0.5,3.2,8.9,12.2,2.7,1.7,1.2,0.7,5,16.6,-3,108,111,warretj01
499,Duane Washington Jr.,SG,22,PHO,31,3,394,11.7,31.8,0.367,5,13.8,0.36,6.7,18,0.372,2,3,0.667,0.2,4.2,4.5,7.8,0.7,0.5,4.2,2.9,30.3,-24,93,117,washidu02
500,P.J. Washington,PF,24,CHO,73,73,2380,8.7,19.6,0.444,3,8.6,0.348,5.7,11,0.518,2.5,3.5,0.73,1.5,5.7,7.2,3.5,1.3,1.6,2.2,3.9,22.9,-9,107,116,washipj01
501,TyTy Washington Jr.,PG,21,HOU,31,2,433,6.5,17.9,0.363,2.1,9,0.238,4.4,9,0.488,1.1,2,0.556,0.2,4.8,5,5.3,1.7,0.2,1.6,3.2,16.2,-22,99,121,washity02
502,Yuta Watanabe,SF,28,BRK,58,1,928,6,12.2,0.491,3.2,7.1,0.444,2.8,5.1,0.557,1.8,2.5,0.723,1.6,5.8,7.4,2.5,1.3,0.9,1.2,4.2,16.9,9,125,116,watanyu01
503,Lindy Waters III,SG,25,OKC,41,0,531,6.3,15.9,0.393,5.2,14.5,0.358,1.1,1.4,0.75,1.4,1.8,0.8,1.4,5.3,6.7,2.5,1.3,1,0.9,3.8,19.1,4,120,116,waterli01
504,Trendon Watford,PF,22,POR,62,12,1182,7.5,13.3,0.56,1,2.6,0.391,6.4,10.7,0.602,3,4.1,0.72,1.7,8.1,9.8,5.4,1.3,0.5,2.9,4.9,18.9,-1,118,119,watfotr01
505,Peyton Watson,SG,20,DEN,23,2,186,7.6,15.5,0.492,1.6,3.7,0.429,6,11.8,0.511,2.9,5.3,0.55,2.1,7.6,9.7,2.9,0.5,2.9,2.1,3.7,19.7,-5,109,114,watsope01
506,Blake Wesley,SG,19,SAS,37,1,669,4.9,15.2,0.321,1.4,3.7,0.385,3.5,11.5,0.301,1.8,3.1,0.591,0.8,4.9,5.7,7,1.8,0.4,4.6,4.7,13,-40,80,120,weslebl01
507,Russell Westbrook,PG,34,TOT,73,24,2126,9.7,22.3,0.436,2,6.4,0.311,7.7,15.9,0.487,4.6,7.1,0.656,2,7.5,9.5,12.4,1.7,0.7,5.7,3.6,26.1,-9,104,113,westbru01
507,Russell Westbrook,PG,34,LAL,52,3,1491,9.7,23.2,0.417,2,6.8,0.296,7.7,16.4,0.467,5,7.6,0.655,1.9,8.3,10.2,12.4,1.7,0.7,5.8,3.8,26.3,-12,101,113,westbru01
507,Russell Westbrook,PG,34,LAC,21,21,635,9.9,20.2,0.489,2,5.6,0.356,7.9,14.6,0.54,3.9,5.9,0.658,2.3,5.6,7.9,12.3,1.8,0.8,5.5,3.2,25.6,-4,111,115,westbru01
508,Coby White,SG,22,CHI,74,2,1730,7.4,16.7,0.443,3.6,9.7,0.372,3.8,7,0.54,1.7,2,0.871,0.5,5.5,6,5.7,1.5,0.2,2.1,3.4,20.1,-1,113,114,whiteco01
509,Derrick White,SG,28,BOS,82,70,2319,7.4,15.9,0.462,3.1,8.2,0.381,4.2,7.7,0.548,3.5,4,0.875,1.1,5.1,6.2,6.7,1.1,1.6,2,3.7,21.4,12,124,112,whitede01
510,Jack White,SF,25,DEN,17,0,66,5.9,14.1,0.421,2.2,6.7,0.333,3.7,7.4,0.5,1.5,2.2,0.667,4.4,8.2,12.6,3,2.2,1.5,1.5,6.7,15.6,4,115,111,whiteja03
511,Joe Wieskamp,SF,23,TOR,9,0,50,3,13.8,0.214,3,11.9,0.25,0,2,0,0,0,,0,4,4,3,0,0,1,3,8.9,-44,77,121,wieskjo01
512,Aaron Wiggins,SG,24,OKC,70,14,1297,6.8,13.3,0.512,1.8,4.5,0.393,5.1,8.8,0.573,2.2,2.6,0.831,2.5,5.2,7.7,2.9,1.4,0.5,2,4,17.5,3,119,116,wiggiaa01
513,Andrew Wiggins,SF,27,GSW,37,37,1190,9.9,21,0.473,3.5,8.9,0.396,6.4,12.1,0.53,1.7,2.9,0.611,2.4,5,7.4,3.4,1.8,1.1,1.9,4.2,25.1,-1,113,114,wiggian01
514,Lindell Wigginton,PG,24,MIL,7,1,87,9.9,20.3,0.486,3.3,9.9,0.333,6.6,10.4,0.632,4.4,4.9,0.889,0,3.8,3.8,7.7,0,1.1,6.6,3.8,27.4,-13,104,117,wiggili01
515,Alondes Williams,SG,23,BRK,1,0,5,0,0,,0,0,,0,0,,0,0,,0,9.8,9.8,0,0,0,19.5,9.8,0,-117,0,117,willial06
516,Donovan Williams,SG,21,ATL,2,0,4,23.8,59.6,0.4,0,23.8,0,23.8,35.8,0.667,0,0,,0,23.8,23.8,0,0,0,0,0,47.7,-30,81,111,willido02
517,Grant Williams,PF,24,BOS,79,23,2045,5.1,11.3,0.454,2.7,6.9,0.395,2.4,4.4,0.546,2.2,2.9,0.77,2.1,6.6,8.7,3.1,1,0.7,2,4.6,15.3,5,118,113,willigr01
518,Jalen Williams,SG,21,OKC,75,62,2276,8.6,16.6,0.521,1.5,4.3,0.356,7.1,12.3,0.579,3.2,4,0.812,1.8,5.3,7,5.2,2.1,0.7,2.6,4,22,4,118,114,willija06
519,Jaylin Williams,C,20,OKC,49,36,914,5.3,12.2,0.436,2.4,5.9,0.407,2.9,6.3,0.463,2,2.8,0.704,2.3,10.2,12.5,3.9,1.5,0.6,1.9,5.8,15,3,115,112,willija07
520,Jeenathan Williams,SG,23,POR,5,4,127,9.2,15,0.615,1.2,3.1,0.375,8.1,11.9,0.677,0.8,1.2,0.667,3.8,1.9,5.8,3.8,1.2,0.8,1.5,5,20.3,10,132,122,willije02
521,Kenrich Williams,PF,28,OKC,53,10,1206,7.1,13.6,0.517,2,5.3,0.373,5.1,8.3,0.608,0.7,1.5,0.436,3.8,6.5,10.3,4.1,1.8,0.6,1.3,4.4,16.7,12,126,114,willike04
522,Mark Williams,C,21,CHO,43,17,828,9.2,14.4,0.637,0,0,,9.2,14.4,0.637,3.9,5.6,0.691,5.3,12.1,17.5,1,1.6,2.6,2.3,5.4,22.2,15,125,110,willima07
523,Patrick Williams,PF,21,CHI,82,65,2323,6.6,14.2,0.464,2.4,5.8,0.415,4.2,8.4,0.498,1.9,2.2,0.857,1.6,5.2,6.9,2.1,1.5,1.5,2.1,3.1,17.5,-5,108,113,willipa01
524,Robert Williams,C,25,BOS,35,20,824,7.5,10.1,0.747,0,0.1,0,7.5,10,0.751,1.5,2.4,0.61,6.2,11.1,17.3,3,1.3,2.8,2,4,16.5,36,143,107,williro04
525,Vince Williams Jr.,SG,22,MEM,15,1,105,5.4,18.1,0.3,1.8,12.7,0.143,3.6,5.4,0.667,0.9,0.9,1,1.8,5,6.8,1.8,2.7,0.9,2.3,5.4,13.6,-31,79,110,willivi01
526,Ziaire Williams,SF,21,MEM,37,4,561,7.1,16.6,0.429,2.1,8.2,0.258,5,8.4,0.596,1.4,1.9,0.773,1.4,5.3,6.7,3,1.2,0.5,3.1,4.9,17.8,-17,97,114,willizi02
527,Zion Williamson,PF,22,NOP,29,29,956,14.4,23.8,0.608,0.4,1,0.368,14.1,22.8,0.618,9,12.6,0.714,2.9,7.3,10.2,6.7,1.6,0.8,5,3.3,38.2,8,120,112,willizi01
528,Dylan Windler,SF,26,CLE,3,0,10,10,15,0.667,5,10,0.5,5,5,1,0,0,,0,0,0,5,5,0,5,0,25.1,11,119,108,windldy01
529,Justise Winslow,PF,26,POR,29,11,776,5.1,12.4,0.409,0.9,2.8,0.311,4.2,9.6,0.438,1.3,1.8,0.714,3.1,6,9.1,6.2,1.9,0.7,2.7,5.6,12.3,-14,104,118,winslju01
530,James Wiseman,C,21,TOT,45,22,867,10.5,18.8,0.558,0.2,1.1,0.2,10.3,17.7,0.58,3.8,5.4,0.701,4,10.8,14.8,1.7,0.4,1.5,2.8,6,25,-4,112,116,wisemja01
530,James Wiseman,C,21,GSW,21,0,262,10.6,16.9,0.628,0.2,0.4,0.5,10.5,16.6,0.63,4.7,6.9,0.684,3.2,9.9,13.2,2.5,0.5,1.3,2.5,7,26.1,9,123,114,wisemja01
